lake_id,ice_in_date,ice_out_date,ice_days,lake_name,measured_years,decade,year,ice_in_month,ice_out_month
82001000,1992-11-14,1993-04-12,149,McDonald,35,1990,1992,11,4
82001000,1993-11-25,1994-04-01,127,McDonald,35,1990,1993,11,4
82001000,1994-11-25,1995-04-15,141,McDonald,35,1990,1994,11,4
82001000,1995-11-09,1996-04-19,162,McDonald,35,1990,1995,11,4
82001000,1996-11-12,1997-04-11,150,McDonald,35,1990,1996,11,4
82001000,1997-11-12,1998-03-29,137,McDonald,35,1990,1997,11,3
82001000,1998-12-17,1999-03-30,103,McDonald,35,1990,1998,12,3
82001000,1999-12-06,2000-03-07,92,McDonald,35,1990,1999,12,3
82001000,2000-11-19,2001-04-15,147,McDonald,35,2000,2000,11,4
82001000,2001-12-20,2002-04-14,115,McDonald,35,2000,2001,12,4
82001000,2002-11-26,2003-04-02,127,McDonald,35,2000,2002,11,4
82001000,2003-11-25,2004-04-06,133,McDonald,35,2000,2003,11,4
82001000,2004-11-24,2005-04-06,133,McDonald,35,2000,2004,11,4
82001000,2005-11-30,2006-04-07,128,McDonald,35,2000,2005,11,4
82001000,2006-12-01,2007-03-26,115,McDonald,35,2000,2006,12,3
82001000,2007-11-23,2008-04-20,149,McDonald,35,2000,2007,11,4
82001000,2007-11-23,2008-04-20,149,McDonald,35,2000,2007,11,4
82001000,2008-11-18,2009-04-02,135,McDonald,35,2000,2008,11,4
82001000,2010-11-23,2011-04-10,138,McDonald,35,2010,2010,11,4
82001000,2011-11-30,2012-03-18,109,McDonald,35,2010,2011,11,3
82001000,2012-11-24,2013-04-27,154,McDonald,35,2010,2012,11,4
82001000,2013-11-22,2014-04-13,142,McDonald,35,2010,2013,11,4
82001000,2014-11-13,2015-03-29,136,McDonald,35,2010,2014,11,3
82001000,2015-12-18,2016-03-16,89,McDonald,35,2010,2015,12,3
82001000,2015-12-18,2016-03-16,89,McDonald,35,2010,2015,12,3
82001000,2015-12-18,2016-03-16,89,McDonald,35,2010,2015,12,3
82001000,2015-12-18,2016-03-16,89,McDonald,35,2010,2015,12,3
82001000,2016-12-08,2017-03-27,109,McDonald,35,2010,2016,12,3
82001000,2016-12-08,2017-03-27,109,McDonald,35,2010,2016,12,3
82001000,2017-12-07,2018-04-28,142,McDonald,35,2010,2017,12,4
82001000,2017-12-08,2018-04-28,141,McDonald,35,2010,2017,12,4
82001000,2018-11-10,2019-04-08,149,McDonald,35,2010,2018,11,4
82001000,2019-11-07,2020-04-01,146,McDonald,35,2010,2019,11,4
82001000,2019-11-07,2020-04-01,146,McDonald,35,2010,2019,11,4
82001000,2020-12-01,2021-03-24,113,McDonald,35,2020,2020,12,3
34006600,2007-12-02,2008-04-24,144,Long,5,2000,2007,12,4
34006600,2009-12-05,2010-04-01,117,Long,5,2000,2009,12,4
34006600,2015-12-20,2016-03-16,87,Long,5,2010,2015,12,3
34006600,2015-12-20,2016-03-16,87,Long,5,2010,2015,12,3
34006600,2018-11-23,2019-04-19,147,Long,5,2010,2018,11,4
10000900,2002-12-03,2003-04-07,125,Minnewashta,15,2000,2002,12,4
10000900,2003-12-05,2004-04-05,122,Minnewashta,15,2000,2003,12,4
10000900,2004-12-14,2005-04-06,113,Minnewashta,15,2000,2004,12,4
10000900,2006-12-03,2007-03-28,115,Minnewashta,15,2000,2006,12,3
10000900,2006-12-03,2007-03-30,117,Minnewashta,15,2000,2006,12,3
10000900,2006-12-05,2007-03-28,113,Minnewashta,15,2000,2006,12,3
10000900,2006-12-05,2007-03-30,115,Minnewashta,15,2000,2006,12,3
10000900,2007-12-01,2008-04-21,142,Minnewashta,15,2000,2007,12,4
10000900,2015-12-19,2016-03-15,87,Minnewashta,15,2010,2015,12,3
10000900,2015-12-19,2016-03-15,87,Minnewashta,15,2010,2015,12,3
10000900,2017-12-08,2018-05-03,146,Minnewashta,15,2010,2017,12,5
10000900,2017-12-08,2018-05-03,146,Minnewashta,15,2010,2017,12,5
10000900,2018-11-28,2019-04-10,133,Minnewashta,15,2010,2018,11,4
10000900,2018-11-28,2019-04-12,135,Minnewashta,15,2010,2018,11,4
10000900,2019-12-02,2020-03-30,119,Minnewashta,15,2010,2019,12,3
66000800,1981-12-05,1982-04-10,126,Cannon,21,1980,1981,12,4
66000800,1983-11-26,1984-04-12,138,Cannon,21,1980,1983,11,4
66000800,1984-12-03,1985-04-01,119,Cannon,21,1980,1984,12,4
66000800,1990-12-02,1991-04-01,120,Cannon,21,1990,1990,12,4
66000800,1991-11-03,1992-04-07,156,Cannon,21,1990,1991,11,4
66000800,1992-11-27,1993-04-19,143,Cannon,21,1990,1992,11,4
66000800,1993-11-26,1994-04-02,127,Cannon,21,1990,1993,11,4
66000800,1994-11-30,1995-03-20,110,Cannon,21,1990,1994,11,3
66000800,1995-11-08,1996-04-17,161,Cannon,21,1990,1995,11,4
66000800,1998-12-19,1999-03-28,99,Cannon,21,1990,1998,12,3
66000800,1998-12-19,1999-03-28,99,Cannon,21,1990,1998,12,3
66000800,2006-12-01,2007-03-26,115,Cannon,21,2000,2006,12,3
66000800,2006-12-01,2007-03-27,116,Cannon,21,2000,2006,12,3
66000800,2011-12-06,2012-03-15,100,Cannon,21,2010,2011,12,3
66000800,2011-12-06,2012-03-15,100,Cannon,21,2010,2011,12,3
66000800,2017-12-07,2018-04-29,143,Cannon,21,2010,2017,12,4
66000800,2017-12-07,2018-04-29,143,Cannon,21,2010,2017,12,4
66000800,2018-11-10,2019-04-08,149,Cannon,21,2010,2018,11,4
66000800,2019-12-02,2020-03-30,119,Cannon,21,2010,2019,12,3
66000800,2020-12-01,2021-03-24,113,Cannon,21,2020,2020,12,3
66000800,2021-12-06,2022-04-04,119,Cannon,21,2020,2021,12,4
05001300,1991-11-03,1992-04-05,154,Little Rock,59,1990,1991,11,4
05001300,1994-11-29,1995-04-15,137,Little Rock,59,1990,1994,11,4
05001300,1995-11-07,1996-04-24,169,Little Rock,59,1990,1995,11,4
05001300,1996-11-12,1997-04-18,157,Little Rock,59,1990,1996,11,4
05001300,1997-11-12,1998-04-01,140,Little Rock,59,1990,1997,11,4
05001300,1998-12-21,1999-03-31,100,Little Rock,59,1990,1998,12,3
05001300,1999-12-16,2000-03-22,97,Little Rock,59,1990,1999,12,3
05001300,2000-11-18,2001-04-20,153,Little Rock,59,2000,2000,11,4
05001300,2001-12-09,2002-04-15,127,Little Rock,59,2000,2001,12,4
05001300,2002-11-26,2003-04-12,137,Little Rock,59,2000,2002,11,4
05001300,2002-11-26,2003-04-12,137,Little Rock,59,2000,2002,11,4
05001300,2003-11-24,2004-04-03,131,Little Rock,59,2000,2003,11,4
05001300,2003-11-24,2004-04-03,131,Little Rock,59,2000,2003,11,4
05001300,2004-12-13,2005-04-06,114,Little Rock,59,2000,2004,12,4
05001300,2004-12-13,2005-04-06,114,Little Rock,59,2000,2004,12,4
05001300,2005-11-28,2006-04-05,128,Little Rock,59,2000,2005,11,4
05001300,2005-11-28,2006-04-05,128,Little Rock,59,2000,2005,11,4
05001300,2006-12-01,2007-04-01,121,Little Rock,59,2000,2006,12,4
05001300,2006-12-01,2007-04-01,121,Little Rock,59,2000,2006,12,4
05001300,2007-12-02,2008-04-17,137,Little Rock,59,2000,2007,12,4
05001300,2007-12-02,2008-04-17,137,Little Rock,59,2000,2007,12,4
05001300,2008-11-20,2009-04-15,146,Little Rock,59,2000,2008,11,4
05001300,2008-11-22,2009-04-15,144,Little Rock,59,2000,2008,11,4
05001300,2008-11-22,2009-04-15,144,Little Rock,59,2000,2008,11,4
05001300,2009-12-05,2010-03-31,116,Little Rock,59,2000,2009,12,3
05001300,2009-12-05,2010-03-31,116,Little Rock,59,2000,2009,12,3
05001300,2010-11-24,2011-04-13,140,Little Rock,59,2010,2010,11,4
05001300,2010-11-24,2011-04-13,140,Little Rock,59,2010,2010,11,4
05001300,2011-11-21,2012-03-19,119,Little Rock,59,2010,2011,11,3
05001300,2011-11-21,2012-03-19,119,Little Rock,59,2010,2011,11,3
05001300,2011-11-21,2012-03-19,119,Little Rock,59,2010,2011,11,3
05001300,2012-11-17,2013-05-02,166,Little Rock,59,2010,2012,11,5
05001300,2012-11-17,2013-05-02,166,Little Rock,59,2010,2012,11,5
05001300,2012-11-25,2013-05-02,158,Little Rock,59,2010,2012,11,5
05001300,2012-11-25,2013-05-02,158,Little Rock,59,2010,2012,11,5
05001300,2012-11-25,2013-05-02,158,Little Rock,59,2010,2012,11,5
05001300,2012-11-25,2013-05-02,158,Little Rock,59,2010,2012,11,5
05001300,2013-11-24,2014-04-24,151,Little Rock,59,2010,2013,11,4
05001300,2013-11-24,2014-04-24,151,Little Rock,59,2010,2013,11,4
05001300,2014-11-13,2015-04-02,140,Little Rock,59,2010,2014,11,4
05001300,2014-11-13,2015-04-02,140,Little Rock,59,2010,2014,11,4
