"Name: Farm Island"
"ID: 01015900"
"Ice In Date","Source"
"2001-12-20","MNPCA"
"2002-11-25","MNPCA"
"2003-11-29","MNPCA"
"2004-12-13","MNPCA"
"2006-12-01","MNPCA"
"2006-12-01","MNPCA"
"2007-12-01","MNPCA"
"2008-11-25","MNDNR-LAKESDB"
"2009-12-05","MNDNR-LLMMP"
"2010-11-27","MNDNR-LLMMP"
"2011-12-06","MNDNR-LLMMP"
"2012-12-07","MNDNR-LLMMP"
"2013-11-23","MNDNR-LLMMP"
"2014-11-17","MNDNR-LLMMP"
"2015-12-19","MNDNR-LLMMP"
"2016-12-09","MNDNR-SCO"
"2016-12-10","MNDNR-LLMMP"
"2017-11-22","MNDNR-LLMMP"
"2017-12-12","MNDNR-SCO"
"2018-11-20","MNDNR-SCO"
"2018-11-20","MNDNR-LLMMP"
"2019-12-02","MNDNR-SCO"
"2020-11-30","MNDNR-SCO"
"2020-11-30","MNDNR-LLMMP"
"2022-12-01","MNDNR-SCO"
