"Name: George"
"ID: 02009100"
"Ice In Date","Source"
"1983-11-25","MNPCA"
"1983-11-25","MNPCA"
"1984-12-05","MNPCA"
"1984-12-05","MNPCA"
"1985-11-21","MNPCA"
"1985-11-21","MNPCA"
"1986-11-11","MNPCA"
"1986-11-11","MNPCA"
"1987-12-02","MNPCA"
"1987-12-02","MNPCA"
"1988-11-23","MNPCA"
"1988-11-23","MNPCA"
"1989-11-17","MNPCA"
"1989-11-17","MNPCA"
"1990-11-29","MNPCA"
"1990-11-29","MNPCA"
"1991-11-04","MNPCA"
"1991-11-04","MNPCA"
"1992-11-30","MNPCA"
"1992-11-30","MNPCA"
"1993-11-27","MNPCA"
"1993-11-27","MNPCA"
"1994-11-29","MNPCA"
"1994-11-29","MNPCA"
"1995-11-22","MNPCA"
"1995-11-22","MNPCA"
"1996-11-12","MNPCA"
"1996-11-12","MNPCA"
"1997-11-17","MNPCA"
"1997-11-17","MNPCA"
"1998-12-20","MNPCA"
"1998-12-20","MNPCA"
"1999-12-21","MNPCA"
"1999-12-21","MNPCA"
"2000-11-21","MNPCA"
"2000-11-21","MNPCA"
"2001-12-21","MNPCA"
"2001-12-21","MNPCA"
"2002-12-03","MNPCA"
"2002-12-03","MNPCA"
"2003-11-25","MNPCA"
"2003-11-25","MNPCA"
"2004-12-14","MNPCA"
"2004-12-14","MNPCA"
"2005-11-20","MNPCA"
"2005-11-20","MNPCA"
"2006-12-01","MNPCA"
"2006-12-01","MNPCA"
"2007-12-01","MNPCA"
"2007-12-01","MNPCA"
"2022-11-20","MNPCA"
