"Name: Bad Medicine"
"ID: 03008500"
"Ice In Date","Source"
"1973-12-06","MNPCA"
"1974-12-03","MNPCA"
"1975-12-02","MNPCA"
"1976-11-27","MNPCA"
"1977-11-24","MNPCA"
"1978-11-28","MNPCA"
"1979-12-01","MNPCA"
"1980-12-02","MNPCA"
"1981-12-08","MNPCA"
"1982-11-26","MNPCA"
"1983-12-02","MNPCA"
"1984-12-03","MNPCA"
"1985-11-21","MNPCA"
"1986-12-02","MNPCA"
"1987-12-06","MNPCA"
"1988-11-28","MNPCA"
"1989-11-25","MNPCA"
"1990-11-29","MNPCA"
"1991-11-25","MNPCA"
"1992-11-27","MNPCA"
"1993-11-26","MNPCA"
"1994-12-06","MNPCA"
"1995-11-22","MNPCA"
"1996-11-19","MNPCA"
"1997-11-22","MNPCA"
"1998-12-19","MNPCA"
"1999-12-16","MNPCA"
"2000-12-05","MNPCA"
"2001-12-19","MNPCA"
"2001-12-19","MNPCA"
"2002-11-25","MNPCA"
"2002-11-25","MNPCA"
"2003-11-25","MNPCA"
"2003-11-25","MNPCA"
"2004-12-14","MNPCA"
"2004-12-16","MNPCA"
"2005-11-30","MNPCA"
"2005-11-30","MNPCA"
"2006-11-30","MNPCA"
"2006-12-02","MNPCA"
"2007-11-30","MNPCA"
"2007-12-01","MNPCA"
"2008-12-04","MNPCA"
"2015-12-20","MNDNR-LLMMP"
"2017-11-22","MNDNR-LLMMP"
"2019-12-02","MNDNR-LLMMP"
"2022-12-01","MNPCA"
