"Name: Detroit"
"ID: 03038100"
"Ice In Date","Source"
"1899-12-05","MNDNR-SCO"
"1902-11-28","MNDNR-SCO"
"1903-11-18","MNDNR-SCO"
"1908-11-30","MNDNR-SCO"
"1909-11-19","MNDNR-SCO"
"1910-11-05","MNPCA"
"1911-11-01","MNPCA"
"1912-10-28","MNPCA"
"1913-12-08","MNDNR-LAKESDB"
"1914-11-15","MNPCA"
"1915-11-14","MNPCA"
"1916-11-04","MNPCA"
"1917-10-29","MNPCA"
"1918-11-22","MNPCA"
"1919-10-25","MNPCA"
"1920-11-11","MNPCA"
"1921-11-10","MNPCA"
"1922-11-23","MNPCA"
"1923-11-30","MNPCA"
"1924-11-17","MNPCA"
"1925-10-27","MNPCA"
"1926-11-10","MNPCA"
"1927-11-12","MNPCA"
"1928-11-25","MNPCA"
"1929-11-20","MNPCA"
"1930-11-25","MNPCA"
"1931-11-24","MNPCA"
"1932-11-12","MNPCA"
"1933-11-12","MNPCA"
"1934-11-23","MNPCA"
"1935-11-04","MNPCA"
"1936-11-17","MNPCA"
"1937-11-17","MNPCA"
"1938-11-16","MNPCA"
"1939-12-13","MNPCA"
"1940-11-13","MNPCA"
"1941-11-22","MNPCA"
"1942-11-22","MNPCA"
"1943-11-13","MNPCA"
"1944-12-02","MNPCA"
"1945-11-09","MNPCA"
"1946-11-16","MNPCA"
"1947-11-11","MNPCA"
"1948-11-22","MNPCA"
"1949-11-21","MNPCA"
"1949-11-24","MNDNR-LAKESDB"
"1950-11-10","MNPCA"
"1951-11-02","MNPCA"
"1952-11-27","MNPCA"
"1953-11-30","MNPCA"
"1954-11-30","MNPCA"
"1955-11-14","MNPCA"
"1956-11-22","MNPCA"
"1957-11-23","MNPCA"
"1958-11-13","MNPCA"
"1959-11-13","MNPCA"
"1960-12-01","MNPCA"
"1961-11-18","MNPCA"
"1962-12-06","MNPCA"
"1963-12-01","MNPCA"
"1964-11-25","MNPCA"
"1965-11-23","MNPCA"
"1966-11-25","MNPCA"
"1967-11-26","MNPCA"
"1968-12-06","MNPCA"
"1969-11-19","MNPCA"
"1970-11-23","MNPCA"
"1971-11-22","MNPCA"
"1972-11-21","MNPCA"
"1973-11-29","MNPCA"
"1974-11-25","MNPCA"
"1975-11-26","MNPCA"
"1976-11-14","MNPCA"
"1977-11-22","MNPCA"
"1978-11-21","MNPCA"
"1979-11-20","MNPCA"
"1980-11-24","MNDNR-SCO"
"1980-11-24","MNPCA"
"1981-12-05","MNPCA"
"1982-11-23","MNPCA"
"1983-11-26","MNPCA"
"1984-11-22","MNPCA"
"1985-11-16","MNPCA"
"1986-11-14","MNPCA"
"1987-11-25","MNPCA"
"1988-11-22","MNPCA"
"1989-11-18","MNPCA"
"1989-11-22","MNDNR-SCO"
"1990-11-26","MNPCA"
"1991-11-03","MNPCA"
"1992-11-26","MNPCA"
"1993-11-08","MNPCA"
"1994-11-29","MNPCA"
"1995-11-11","MNPCA"
"1996-11-12","MNPCA"
"1997-11-15","MNPCA"
"1997-11-25","MNDNR-SCO"
"1998-12-07","MNPCA"
"1999-12-16","MNPCA"
"2000-11-20","MNPCA"
"2001-12-07","MNPCA"
"2002-11-25","MNPCA"
"2003-11-25","MNDNR-SCO"
"2004-12-13","MNDNR-SCO"
"2005-11-29","MNDNR-SCO"
"2005-11-30","MNPCA"
"2006-11-30","MNDNR-SCO"
"2007-11-27","MNPCA"
"2008-11-21","MNDNR-LAKESDB"
"2009-12-04","MNDNR-LLMMP"
"2009-12-05","MNDNR-SCO"
"2010-11-24","MNDNR-LLMMP"
"2011-11-20","MNDNR"
"2011-11-23","MNDNR"
"2011-11-23","MNDNR-SCO"
"2012-11-29","MNDNR-LLMMP"
"2015-11-27","MNPCA"
"2015-11-27","MNDNR-SCO"
"2018-11-13","MNPCA"
"2018-11-13","MNDNR-SCO"
"2020-11-16","MNDNR-LLMMP"
"2021-11-28","MNDNR-SCO"
"2022-11-19","MNPCA"
