"Name: Floyd (south bay)"
"ID: 03038702"
"Ice In Date","Source"
"1967-11-25","MNPCA"
"1968-11-13","MNPCA"
"1969-11-18","MNPCA"
"1970-11-22","MNPCA"
"1971-11-07","MNPCA"
"1971-11-07","MNPCA"
"1972-11-13","MNPCA"
"1972-11-14","MNPCA"
"1973-11-27","MNPCA"
"1973-11-28","MNPCA"
"1974-11-15","MNPCA"
"1974-11-16","MNPCA"
"1975-11-21","MNPCA"
"1975-11-21","MNPCA"
"1976-11-09","MNPCA"
"1976-11-09","MNPCA"
"1977-11-22","MNPCA"
"1977-11-22","MNPCA"
"1978-11-14","MNPCA"
"1978-11-14","MNPCA"
"1979-11-08","MNPCA"
"1979-11-08","MNPCA"
"1980-11-17","MNPCA"
"1980-11-19","MNPCA"
"1981-12-04","MNPCA"
"1981-12-04","MNPCA"
"1982-11-13","MNPCA"
"1982-11-13","MNPCA"
"1983-11-25","MNPCA"
"1983-11-25","MNPCA"
"1984-11-16","MNPCA"
"1984-11-16","MNPCA"
"1985-11-14","MNPCA"
"1985-11-14","MNPCA"
"1986-11-11","MNPCA"
"1986-11-11","MNPCA"
"1987-11-22","MNPCA"
"1987-11-22","MNPCA"
"1988-11-16","MNPCA"
"1988-11-17","MNPCA"
"1989-11-16","MNPCA"
"1989-11-16","MNPCA"
"1990-11-25","MNPCA"
"1990-11-25","MNPCA"
"1991-11-02","MNPCA"
"1991-11-03","MNPCA"
"1992-11-14","MNPCA"
"1992-11-14","MNPCA"
"1993-11-06","MNPCA"
"1993-11-09","MNPCA"
"1994-11-29","MNPCA"
"1994-11-29","MNPCA"
"1995-11-11","MNPCA"
"1995-11-11","MNPCA"
"1996-11-12","MNPCA"
"1996-11-12","MNPCA"
"1997-11-12","MNPCA"
"1997-11-12","MNPCA"
"1998-11-20","MNPCA"
"1998-11-20","MNPCA"
"1999-12-16","MNPCA"
"2000-11-21","MNPCA"
"2000-11-21","MNPCA"
"2001-12-03","MNPCA"
"2002-11-13","MNPCA"
"2002-11-15","MNPCA"
"2003-11-07","MNPCA"
"2003-11-07","MNPCA"
"2004-11-22","MNPCA"
"2005-11-17","MNPCA"
"2008-11-20","MNPCA"
"2014-11-16","MNPCA"
"2015-11-27","MNPCA"
"2017-12-12","MNPCA"
"2018-11-10","MNPCA"
"2022-11-20","MNPCA"
