"Name: Bemidji"
"ID: 04013000"
"Ice In Date","Source"
"1958-11-12","MNDNR-SCO"
"1959-11-14","MNDNR-SCO"
"1960-11-20","MNDNR-SCO"
"1961-11-26","MNDNR-SCO"
"1962-12-02","MNDNR-SCO"
"1963-12-04","MNDNR-SCO"
"1964-12-10","MNDNR-SCO"
"1965-11-29","MNDNR-SCO"
"1966-11-27","MNDNR-SCO"
"1967-11-27","MNDNR-SCO"
"1968-12-06","MNDNR-SCO"
"1969-11-20","MNDNR-SCO"
"1971-11-15","MNDNR-SCO"
"1972-11-28","MNDNR-SCO"
"1974-11-25","MNDNR-SCO"
"1976-12-15","MNDNR-SCO"
"1977-11-24","MNDNR-SCO"
"1978-11-22","MNDNR-SCO"
"1979-11-30","MNDNR-SCO"
"1980-12-02","MNDNR-SCO"
"1981-12-05","MNDNR-SCO"
"1981-12-08","MNDNR-LAKESDB"
"1982-11-25","MNDNR-SCO"
"1983-12-01","MNDNR-SCO"
"1984-11-17","MNDNR-SCO"
"1985-11-20","MNDNR-SCO"
"1986-11-17","MNDNR-SCO"
"1987-11-04","MNDNR-SCO"
"1988-11-18","MNDNR-SCO"
"1989-11-27","MNDNR-SCO"
"1990-12-02","MNDNR-SCO"
"1991-11-04","MNDNR-SCO"
"1992-11-15","MNDNR-SCO"
"1993-11-26","MNDNR-SCO"
"1994-11-29","MNDNR-SCO"
"1995-11-23","MNPCA"
"1995-11-26","MNDNR-SCO"
"1996-11-19","MNDNR-SCO"
"1996-11-20","MNPCA"
"1997-11-16","MNDNR-SCO"
"1997-11-24","MNPCA"
"1998-12-20","MNDNR-SCO"
"1999-12-17","MNDNR-SCO"
"1999-12-17","MNPCA"
"2000-11-21","MNDNR-SCO"
"2000-12-06","MNPCA"
"2001-12-20","MNDNR-SCO"
"2001-12-20","MNPCA"
"2002-11-24","MNPCA"
"2002-11-25","MNDNR-SCO"
"2003-11-25","MNDNR-SCO"
"2003-12-03","MNPCA"
"2004-12-14","MNDNR-SCO"
"2005-11-30","MNDNR-SCO"
"2006-11-19","MNPCA"
"2006-11-30","MNPCA"
"2006-12-01","MNDNR-SCO"
"2007-12-01","MNPCA"
"2007-12-01","MNDNR-SCO"
"2007-12-01","MNPCA"
"2007-12-01","MNDNR-SCO"
"2008-11-26","MNPCA"
"2008-11-26","MNDNR-SCO"
"2009-12-10","MNDNR-SCO"
"2010-12-02","MNDNR-SCO"
"2011-12-06","MNDNR-SCO"
"2012-12-06","MNDNR-SCO"
"2013-11-24","MNDNR-SCO"
"2014-11-16","MNDNR-SCO"
"2015-11-27","MNPCA"
"2015-12-19","MNDNR-SCO"
"2016-12-09","MNDNR-SCO"
"2017-12-07","MNDNR-SCO"
"2018-11-20","MNDNR-SCO"
"2019-12-03","MNDNR-SCO"
"2020-11-30","MNDNR-SCO"
"2021-12-07","MNDNR-SCO"
"2022-12-01","MNDNR-SCO"
