"Name: Turtle"
"ID: 04015900"
"Ice In Date","Source"
"1965-11-17","MNPCA"
"1966-11-10","MNPCA"
"1967-11-27","MNPCA"
"1968-11-29","MNPCA"
"1969-11-19","MNPCA"
"1970-11-22","MNPCA"
"1971-11-21","MNPCA"
"1972-11-14","MNPCA"
"1973-12-05","MNPCA"
"1974-11-24","MNPCA"
"1975-11-25","MNPCA"
"1976-11-15","MNPCA"
"1977-11-19","MNPCA"
"1978-11-18","MNPCA"
"1979-11-10","MNPCA"
"1980-11-24","MNPCA"
"1981-11-21","MNPCA"
"1982-11-13","MNPCA"
"1983-11-25","MNPCA"
"1984-11-17","MNPCA"
"1985-11-15","MNPCA"
"1986-11-11","MNPCA"
"1987-11-24","MNPCA"
"1988-11-18","MNPCA"
"1989-11-17","MNPCA"
"1990-11-25","MNPCA"
"1991-11-04","MNPCA"
"1992-11-15","MNPCA"
"1993-11-08","MNPCA"
"1994-11-29","MNPCA"
"1995-11-09","MNPCA"
"1996-11-12","MNPCA"
"1997-11-15","MNPCA"
"1998-11-20","MNPCA"
"1999-12-06","MNDNR-SCO"
"1999-12-11","MNPCA"
"2000-11-21","MNPCA"
"2001-12-06","MNPCA"
"2002-11-13","MNPCA"
"2003-11-08","MNPCA"
"2004-11-28","MNPCA"
"2005-11-25","MNPCA"
"2006-11-30","MNPCA"
"2007-11-22","MNPCA"
"2008-11-22","MNPCA"
"2009-12-04","MNDNR-LLMMP"
"2010-11-23","MNDNR-LLMMP"
"2011-11-20","MNDNR-LLMMP"
"2012-11-24","MNDNR-LLMMP"
"2013-11-22","MNDNR-LLMMP"
"2014-11-14","MNDNR-LLMMP"
"2015-11-27","MNDNR-LLMMP"
"2016-12-08","MNDNR-LLMMP"
"2017-11-10","MNDNR-LLMMP"
"2020-11-16","MNDNR-LLMMP"
"2021-11-22","MNDNR-LLMMP"
"2022-11-20","MNPCA"
