"Name: Little Rock"
"ID: 05001300"
"Ice In Date","Source"
"1991-11-03","MNDNR-LLMMP"
"1992-11-14","MNDNR-LLMMP"
"1994-11-29","MNDNR-LLMMP"
"1995-11-07","MNDNR-LLMMP"
"1996-11-12","MNDNR-LLMMP"
"1997-11-12","MNDNR-LLMMP"
"1998-12-21","MNDNR-LLMMP"
"1999-12-16","MNDNR-LLMMP"
"2000-11-18","MNDNR-LLMMP"
"2001-12-09","MNDNR-LLMMP"
"2002-11-26","MNDNR-SCO"
"2002-11-26","MNDNR"
"2003-11-24","MNDNR-SCO"
"2003-11-24","MNDNR"
"2004-12-13","MNDNR"
"2004-12-13","MNDNR-SCO"
"2005-11-28","MNDNR-SCO"
"2005-11-28","MNDNR"
"2006-12-01","MNDNR"
"2006-12-01","MNDNR-SCO"
"2007-12-02","MNDNR-SCO"
"2007-12-02","MNDNR"
"2008-11-20","MNPCA"
"2008-11-22","MNDNR-SCO"
"2008-11-22","MNDNR"
"2009-12-05","MNDNR-SCO"
"2009-12-05","MNDNR"
"2010-11-24","MNDNR"
"2010-11-24","MNDNR-SCO"
"2011-11-21","MNDNR-SCO"
"2011-11-21","MNDNR"
"2011-11-21","MNDNR"
"2012-11-17","MNDNR-LLMMP"
"2012-11-25","MNDNR"
"2012-11-25","MNDNR-SCO"
"2013-11-24","MNDNR-SCO"
"2013-11-24","MNDNR-LLMMP"
"2014-11-13","MNDNR-SCO"
"2014-11-13","MNDNR-LLMMP"
"2015-12-19","MNDNR-SCO"
"2015-12-19","MNDNR-LLMMP"
"2016-12-08","MNDNR-LLMMP"
"2017-11-10","MNDNR-SCO"
"2017-11-10","MNDNR-LLMMP"
"2018-11-11","MNDNR-LLMMP"
"2018-11-11","MNDNR-SCO"
"2019-11-08","MNDNR-SCO"
"2020-12-02","MNDNR-SCO"
"2021-11-26","MNDNR-SCO"
"2022-11-20","MNDNR-SCO"
