"Name: Park"
"ID: 09002900"
"Ice In Date","Source"
"1988-11-18","MNDNR-SCO"
"1989-11-15","MNDNR-SCO"
"1990-11-23","MNDNR-SCO"
"1991-11-02","MNDNR-SCO"
"1992-11-05","MNDNR-SCO"
"1993-11-05","MNDNR-SCO"
"1994-11-23","MNDNR-SCO"
"1995-11-11","MNDNR-SCO"
"1996-11-12","MNDNR-SCO"
"1997-11-12","MNDNR-SCO"
"1998-12-09","MNDNR-SCO"
"1999-11-29","MNDNR-SCO"
"2000-11-17","MNDNR-SCO"
"2001-11-29","MNDNR-SCO"
"2002-11-13","MNDNR-SCO"
"2002-11-13","MNPCA"
"2003-11-24","MNDNR-SCO"
"2003-11-25","MNPCA"
"2004-11-24","MNDNR-SCO"
"2004-11-24","MNPCA"
"2005-11-16","MNDNR-SCO"
"2006-11-15","MNDNR-SCO"
"2007-11-21","MNDNR-SCO"
"2007-11-22","MNPCA"
"2008-11-18","MNDNR-SCO"
"2008-11-18","MNPCA"
"2009-12-03","MNDNR-SCO"
"2009-12-04","MNDNR-LLMMP"
"2010-11-19","MNDNR-SCO"
"2011-11-17","MNDNR-SCO"
"2012-11-23","MNDNR-SCO"
"2016-12-07","MNDNR-SCO"
"2018-11-10","MNDNR-SCO"
"2020-11-16","MNDNR-SCO"
"2021-11-20","MNDNR-SCO"
"2022-11-19","MNDNR-SCO"
