"Name: Minnewashta"
"ID: 10000900"
"Ice In Date","Source"
"1978-11-25","MNDNR-SCO"
"1979-12-02","MNDNR-SCO"
"1985-11-21","MNDNR-SCO"
"1998-12-22","MNDNR-SCO"
"2002-12-03","MNPCA"
"2003-12-05","MNPCA"
"2004-12-14","MNPCA"
"2006-12-03","MNPCA"
"2006-12-05","MNPCA"
"2007-12-01","MNPCA"
"2010-12-03","MNDNR-LLMMP"
"2011-12-06","MNDNR-SCO"
"2011-12-06","MNDNR"
"2015-12-19","MNPCA"
"2017-12-08","MNDNR-SCO"
"2017-12-08","MNDNR-LLMMP"
"2018-11-28","MNDNR-SCO"
"2019-12-02","MNDNR-SCO"
"2021-12-07","MNDNR-SCO"
"2022-12-04","MNDNR-SCO"
"2022-12-07","MNPCA"
