"Name: Virginia"
"ID: 10001500"
"Ice In Date","Source"
"1992-11-27","MNPCA"
"1993-11-26","MNPCA"
"1994-11-29","MNDNR-SCO"
"1994-11-29","MNPCA"
"1995-11-21","MNPCA"
"1996-11-12","MNPCA"
"1997-11-16","MNDNR-SCO"
"1997-11-16","MNPCA"
"1998-12-20","MNPCA"
"2000-11-21","MNPCA"
"2001-12-20","MNPCA"
"2002-11-29","MNPCA"
"2003-11-28","MNPCA"
"2004-12-04","MNPCA"
"2005-11-29","MNPCA"
"2006-12-02","MNPCA"
"2007-12-01","MNPCA"
"2011-12-02","MNDNR-SCO"
"2011-12-02","MNDNR"
"2015-11-29","MNDNR-LLMMP"
"2016-12-08","MNDNR-LLMMP"
"2017-12-07","MNDNR-SCO"
"2018-11-16","MNDNR-LLMMP"
"2019-11-12","MNDNR-SCO"
"2019-11-13","MNDNR-LLMMP"
"2020-12-02","MNDNR-LLMMP"
"2021-12-07","MNDNR-SCO"
"2022-11-20","MNDNR-SCO"
"2022-11-29","MNPCA"
