"Name: Waconia"
"ID: 10005900"
"Ice In Date","Source"
"1940-12-02","MNDNR-SCO"
"1941-12-06","MNDNR-LAKESDB"
"1942-12-08","MNDNR-LAKESDB"
"1943-11-30","MNDNR-LAKESDB"
"1944-12-12","MNDNR-LAKESDB"
"1945-12-09","MNDNR-LAKESDB"
"1946-12-01","MNDNR-LAKESDB"
"1947-12-02","MNDNR-LAKESDB"
"1948-11-30","MNDNR-LAKESDB"
"1949-11-28","MNDNR-LAKESDB"
"1950-11-24","MNDNR-LAKESDB"
"1951-12-01","MNDNR-LAKESDB"
"1952-12-11","MNDNR-LAKESDB"
"1953-12-12","MNDNR-LAKESDB"
"1954-12-05","MNDNR-LAKESDB"
"1955-11-30","MNDNR-LAKESDB"
"1956-12-14","MNDNR-LAKESDB"
"1957-12-02","MNDNR-LAKESDB"
"1958-11-22","MNDNR-LAKESDB"
"1959-12-10","MNDNR-LAKESDB"
"1960-11-21","MNDNR-LAKESDB"
"1961-11-24","MNDNR-LAKESDB"
"1962-11-28","MNDNR-LAKESDB"
"1963-11-29","MNDNR-LAKESDB"
"1964-12-03","MNDNR-LAKESDB"
"1965-12-05","MNDNR-LAKESDB"
"1966-12-04","MNDNR-LAKESDB"
"1967-12-06","MNDNR-LAKESDB"
"1968-11-23","MNDNR-LAKESDB"
"1969-11-30","MNDNR-LAKESDB"
"1970-11-29","MNDNR-LAKESDB"
"1971-12-04","MNDNR-LAKESDB"
"1972-11-29","MNDNR-LAKESDB"
"1973-12-06","MNDNR-LAKESDB"
"1974-12-01","MNDNR-LAKESDB"
"1975-11-27","MNDNR-SCO"
"1975-11-29","MNDNR-LAKESDB"
"1976-11-15","MNDNR-LAKESDB"
"1977-11-25","MNDNR-LAKESDB"
"1978-11-21","MNDNR-LAKESDB"
"1978-11-21","MNDNR-SCO"
"1979-11-30","MNDNR"
"1979-11-30","MNDNR-SCO"
"1980-12-03","MNDNR"
"1980-12-03","MNDNR-SCO"
"1981-12-05","MNDNR-SCO"
"1981-12-05","MNDNR"
"1982-12-08","MNDNR-SCO"
"1982-12-08","MNDNR"
"1983-11-29","MNDNR"
"1984-12-03","MNDNR"
"1985-11-21","MNDNR"
"1985-11-21","MNDNR-SCO"
"1986-11-15","MNDNR"
"1986-11-15","MNDNR-SCO"
"1987-12-04","MNDNR"
"1988-11-21","MNDNR"
"1989-11-23","MNDNR"
"1989-11-23","MNDNR-SCO"
"1990-12-02","MNDNR-SCO"
"1990-12-02","MNDNR"
"1991-11-07","MNDNR"
"1991-11-07","MNDNR-SCO"
"1992-11-27","MNDNR"
"1992-11-27","MNDNR-SCO"
"1993-11-26","MNDNR-SCO"
"1993-11-26","MNDNR"
"1994-12-07","MNDNR"
"1994-12-07","MNDNR-SCO"
"1995-11-22","MNDNR"
"1995-11-22","MNDNR-SCO"
"1996-11-19","MNDNR"
"1996-11-19","MNDNR-SCO"
"1997-11-21","MNDNR-SCO"
"1997-11-21","MNDNR"
"1998-12-21","MNDNR"
"1998-12-21","MNDNR-SCO"
"1999-12-16","MNDNR-SCO"
"1999-12-16","MNDNR"
"2000-11-21","MNDNR"
"2001-11-20","MNDNR-SCO"
"2002-12-03","MNDNR-SCO"
"2003-11-29","MNDNR-SCO"
"2004-12-14","MNDNR-SCO"
"2005-11-30","MNDNR-SCO"
"2006-12-03","MNPCA"
"2006-12-03","MNDNR-SCO"
"2007-12-01","MNDNR-SCO"
"2007-12-05","MNPCA"
"2008-11-29","MNDNR-SCO"
"2009-12-10","MNDNR-SCO"
"2010-11-27","MNDNR-SCO"
"2011-12-06","MNDNR-SCO"
"2012-12-10","MNDNR-SCO"
"2013-11-27","MNDNR"
"2014-11-21","MNDNR-SCO"
"2015-12-19","MNDNR-SCO"
"2016-12-09","MNDNR-SCO"
"2017-12-07","MNDNR-SCO"
"2018-11-28","MNDNR-SCO"
"2019-12-02","MNDNR-SCO"
"2020-12-01","MNDNR-SCO"
"2021-12-07","MNDNR-SCO"
"2022-12-04","MNDNR-SCO"
