"Name: Swede"
"ID: 10009500"
"Ice In Date","Source"
"1983-11-25","MNDNR-SCO"
"1989-11-18","MNDNR-SCO"
"1996-11-12","MNDNR-SCO"
"1998-12-20","MNPCA"
"1999-12-06","MNPCA"
"2000-11-18","MNPCA"
"2001-12-19","MNPCA"
"2002-11-25","MNPCA"
"2003-11-25","MNPCA"
"2004-12-15","MNPCA"
"2006-12-05","MNPCA"
"2007-11-27","MNPCA"
"2010-11-23","MNDNR-LLMMP"
"2012-11-24","MNDNR-LLMMP"
"2013-11-24","MNDNR-LLMMP"
"2014-11-14","MNDNR-LLMMP"
"2015-11-28","MNPCA"
"2015-12-18","MNDNR-SCO"
"2017-12-07","MNDNR-SCO"
"2019-12-02","MNDNR-SCO"
"2021-12-06","MNDNR-SCO"
"2022-11-19","MNDNR-SCO"
