"Name: Long"
"ID: 11014200"
"Ice In Date","Source"
"1979-11-30","MNPCA"
"1980-11-24","MNPCA"
"1981-12-05","MNPCA"
"1982-11-24","MNPCA"
"1984-12-06","MNPCA"
"1985-11-21","MNPCA"
"1986-11-18","MNPCA"
"1987-11-26","MNPCA"
"1988-11-28","MNPCA"
"1989-11-24","MNPCA"
"1990-12-02","MNPCA"
"1991-11-25","MNPCA"
"1992-11-27","MNPCA"
"1993-11-23","MNPCA"
"1994-12-06","MNPCA"
"1995-11-13","MNPCA"
"1996-11-18","MNPCA"
"1997-11-18","MNPCA"
"1998-12-16","MNPCA"
"1999-12-14","MNPCA"
"2000-12-02","MNPCA"
"2014-11-21","MNPCA"
"2015-12-27","MNPCA"
"2017-12-12","MNPCA"
"2018-11-20","MNPCA"
"2022-12-01","MNPCA"
