"Name: Barnum"
"ID: 11028100"
"Ice In Date","Source"
"1994-12-19","MNPCA"
"1995-11-12","MNPCA"
"1996-11-13","MNPCA"
"1997-11-16","MNPCA"
"1998-12-06","MNDNR-LAKESDB"
"1999-12-06","MNPCA"
"2000-11-19","MNPCA"
"2001-12-19","MNPCA"
"2002-11-14","MNPCA"
"2003-11-26","MNPCA"
"2004-11-03","MNPCA"
"2005-11-29","MNPCA"
"2006-11-29","MNPCA"
"2007-11-24","MNPCA"
"2008-11-21","MNPCA"
"2010-11-23","MNDNR-LLMMP"
"2011-11-25","MNDNR-LLMMP"
"2012-11-26","MNDNR-LLMMP"
"2013-11-21","MNDNR-LLMMP"
"2014-11-15","MNDNR-LLMMP"
"2015-11-27","MNDNR-LLMMP"
"2018-11-25","MNDNR-LLMMP"
"2019-11-07","MNDNR-LLMMP"
"2021-12-01","MNDNR-LLMMP"
"2022-11-19","MNPCA"
