"Name: Rainy"
"ID: 11035600"
"Ice In Date","Source"
"1986-11-11","MNPCA"
"1987-11-21","MNPCA"
"1989-11-17","MNPCA"
"1990-11-28","MNPCA"
"1993-11-06","MNPCA"
"1994-11-29","MNPCA"
"1995-11-11","MNPCA"
"1997-11-16","MNPCA"
"1998-12-08","MNPCA"
"1999-12-07","MNPCA"
"2000-11-21","MNPCA"
"2001-11-29","MNPCA"
"2002-11-13","MNPCA"
"2003-11-08","MNPCA"
"2004-11-24","MNPCA"
"2005-12-01","MNPCA"
"2006-11-19","MNPCA"
"2007-11-24","MNPCA"
"2013-11-22","MNPCA"
"2015-11-28","MNPCA"
"2017-11-10","MNPCA"
"2018-11-13","MNPCA"
"2022-11-20","MNPCA"
