"Name: Green (Little Green)"
"ID: 13004101"
"Ice In Date","Source"
"1979-11-30","MNPCA"
"1980-12-09","MNPCA"
"1981-12-05","MNPCA"
"1982-11-24","MNPCA"
"1983-11-25","MNPCA"
"1984-11-20","MNPCA"
"1985-11-21","MNPCA"
"1986-11-13","MNPCA"
"1988-11-20","MNPCA"
"1989-11-16","MNPCA"
"1990-11-29","MNPCA"
"1991-11-03","MNPCA"
"1995-11-12","MNPCA"
"1997-11-16","MNPCA"
"1998-12-20","MNPCA"
"1999-12-18","MNPCA"
"2000-11-20","MNPCA"
"2001-12-20","MNPCA"
"2002-11-26","MNPCA"
"2003-11-25","MNPCA"
"2004-12-14","MNPCA"
"2006-12-05","MNPCA"
"2007-11-28","MNPCA"
"2008-11-21","MNPCA"
"2015-12-18","MNPCA"
"2018-11-12","MNPCA"
"2022-11-22","MNPCA"
