"Name: Green (Main Basin)"
"ID: 13004102"
"Ice In Date","Source"
"1979-11-30","MNPCA"
"1980-12-09","MNPCA"
"1981-12-07","MNPCA"
"1982-12-07","MNPCA"
"1983-11-25","MNPCA"
"1984-11-20","MNPCA"
"1985-11-21","MNPCA"
"1986-11-15","MNPCA"
"1988-11-20","MNPCA"
"1989-11-18","MNPCA"
"1991-11-04","MNPCA"
"1998-12-22","MNPCA"
"1999-12-21","MNPCA"
"2000-11-22","MNPCA"
"2001-12-20","MNPCA"
"2003-12-02","MNPCA"
"2004-12-14","MNPCA"
"2006-12-05","MNPCA"
"2007-12-01","MNPCA"
"2007-12-01","MNPCA"
"2008-11-25","MNPCA"
"2015-12-18","MNPCA"
"2017-12-08","MNPCA"
"2018-11-20","MNPCA"
"2022-11-22","MNPCA"
