"Name: Itasca"
"ID: 15001600"
"Ice In Date","Source"
"1930-11-19","MNDNR-LAKESDB"
"1931-11-25","MNDNR-LAKESDB"
"1933-11-09","MNDNR-LAKESDB"
"1934-11-23","MNDNR-LAKESDB"
"1935-11-11","MNDNR-LAKESDB"
"1936-11-05","MNDNR-LAKESDB"
"1937-11-18","MNDNR-LAKESDB"
"1938-11-14","MNDNR-LAKESDB"
"1940-11-13","MNDNR-LAKESDB"
"1941-11-23","MNDNR-LAKESDB"
"1942-11-18","MNDNR-LAKESDB"
"1943-11-14","MNDNR-LAKESDB"
"1945-11-10","MNDNR-LAKESDB"
"1946-11-17","MNDNR-LAKESDB"
"1947-11-23","MNDNR-LAKESDB"
"1948-11-23","MNDNR-LAKESDB"
"1949-11-23","MNDNR-LAKESDB"
"1950-11-11","MNDNR-LAKESDB"
"1951-11-06","MNDNR-LAKESDB"
"1952-11-24","MNDNR-LAKESDB"
"1953-11-26","MNDNR-LAKESDB"
"1954-11-30","MNDNR-LAKESDB"
"1955-11-14","MNDNR-LAKESDB"
"1956-11-23","MNDNR-LAKESDB"
"1957-11-22","MNDNR-LAKESDB"
"1958-11-24","MNDNR-LAKESDB"
"1959-11-09","MNDNR-LAKESDB"
"1972-11-14","MNDNR-LAKESDB"
"1974-11-24","MNDNR-LAKESDB"
"1976-11-17","MNDNR-LAKESDB"
"1977-11-18","MNDNR-SCO"
"1977-11-19","MNDNR-LAKESDB"
"1978-11-16","MNDNR-SCO"
"1978-11-21","MNDNR-LAKESDB"
"1979-11-09","MNDNR-SCO"
"1979-11-09","MNPCA"
"1980-11-15","MNPCA"
"1980-11-24","MNDNR-SCO"
"1981-11-20","MNDNR-SCO"
"1982-11-19","MNDNR-SCO"
"1983-10-25","MNPCA"
"1984-11-17","MNPCA"
"1985-11-11","MNPCA"
"1986-11-13","MNPCA"
"1987-12-02","MNPCA"
"1988-11-18","MNPCA"
"1989-11-17","MNPCA"
"1990-11-26","MNPCA"
"1991-11-04","MNPCA"
"1992-11-14","MNPCA"
"1993-11-08","MNPCA"
"1994-11-26","MNPCA"
"1995-11-11","MNPCA"
"1996-11-12","MNPCA"
"1997-11-16","MNPCA"
"1998-12-07","MNPCA"
"1999-11-29","MNPCA"
"2000-11-27","MNPCA"
"2001-12-02","MNPCA"
"2002-11-13","MNPCA"
"2003-11-10","MNPCA"
"2004-11-29","MNPCA"
"2005-11-25","MNDNR-SCO"
"2008-11-20","MNDNR-LLMMP"
"2012-11-23","MNDNR-SCO"
"2016-12-09","MNDNR-SCO"
"2018-11-13","MNPCA"
"2019-11-12","MNDNR-SCO"
"2020-11-16","MNDNR-SCO"
"2021-12-07","MNDNR-SCO"
"2022-11-23","MNPCA"
