"Name: Caribou"
"ID: 16036000"
"Ice In Date","Source"
"1976-10-26","MNDNR-SCO"
"1977-11-23","MNDNR-SCO"
"1978-11-17","MNDNR-SCO"
"1979-11-09","MNDNR-SCO"
"1980-11-10","MNDNR-SCO"
"1981-11-24","MNDNR-SCO"
"1982-11-13","MNDNR-SCO"
"1983-11-25","MNDNR-SCO"
"1984-11-06","MNDNR-SCO"
"1989-11-16","MNDNR-SCO"
"1993-11-10","MNDNR-SCO"
"1995-11-08","MNDNR-SCO"
"1996-11-12","MNDNR-SCO"
"1997-11-18","MNDNR-SCO"
"1998-12-09","MNDNR-SCO"
"2001-11-28","MNPCA"
"2002-11-13","MNPCA"
"2004-11-25","MNPCA"
"2006-11-19","MNPCA"
"2007-11-22","MNPCA"
"2011-11-20","MNDNR-SCO"
"2011-11-20","MNDNR"
"2016-12-02","MNDNR-LLMMP"
"2017-11-10","MNDNR-SCO"
"2018-11-14","MNDNR-SCO"
"2019-11-08","MNDNR-SCO"
"2020-11-18","MNDNR-SCO"
"2021-11-24","MNDNR-SCO"
"2021-12-08","MNDNR-LLMMP"
"2022-11-20","MNDNR-SCO"
