"Name: Hamlet"
"ID: 18007000"
"Ice In Date","Source"
"2002-12-05","MNPCA"
"2004-12-14","MNPCA"
"2005-12-03","MNPCA"
"2007-12-01","MNPCA"
"2008-12-07","MNDNR-LAKESDB"
"2009-12-14","MNDNR-LLMMP"
"2010-12-03","MNDNR-LLMMP"
"2011-12-06","MNDNR-LLMMP"
"2013-11-27","MNDNR-LLMMP"
"2014-11-22","MNDNR-LLMMP"
"2015-12-26","MNPCA"
"2015-12-26","MNDNR-LLMMP"
"2016-12-14","MNDNR-LLMMP"
"2017-12-11","MNDNR-LLMMP"
"2017-12-11","MNPCA"
"2018-11-20","MNDNR-LLMMP"
"2019-12-02","MNDNR-LLMMP"
"2020-12-02","MNDNR-LLMMP"
"2021-12-08","MNDNR-SCO"
"2022-12-02","MNDNR-SCO"
