"Name: Upper South Long"
"ID: 18009600"
"Ice In Date","Source"
"1998-12-23","MNPCA"
"1999-12-16","MNPCA"
"2000-11-22","MNPCA"
"2001-12-21","MNPCA"
"2002-11-27","MNPCA"
"2004-11-22","MNPCA"
"2005-12-01","MNPCA"
"2006-12-01","MNPCA"
"2007-12-01","MNPCA"
"2009-04-20","MNDNR-LLMMP"
"2010-04-01","MNDNR-LLMMP"
"2011-04-22","MNDNR-LLMMP"
"2012-03-20","MNDNR-LLMMP"
"2012-12-10","MNPCA"
"2013-11-24","MNPCA"
"2014-11-21","MNPCA"
"2015-12-19","MNDNR-LLMMP"
"2016-12-09","MNDNR-LLMMP"
"2017-12-12","MNDNR-LLMMP"
"2018-11-21","MNDNR-LLMMP"
"2019-12-02","MNDNR-LLMMP"
"2020-12-01","MNDNR-LLMMP"
"2021-12-07","MNDNR-LLMMP"
"2022-12-03","MNPCA"
