"Name: Powderhorn"
"ID: 27001400"
"Ice In Date","Source"
"1963-12-02","MNPCA"
"1964-11-23","MNPCA"
"1966-12-05","MNPCA"
"1988-11-30","MNPCA"
"1989-11-18","MNPCA"
"1990-12-02","MNPCA"
"1991-11-01","MNPCA"
"1992-11-30","MNPCA"
"1993-11-26","MNPCA"
"1995-11-10","MNPCA"
"1996-11-12","MNPCA"
"1997-11-15","MNPCA"
"1998-12-14","MNPCA"
"1999-12-12","MNPCA"
"2000-11-21","MNPCA"
"2001-12-20","MNPCA"
"2002-11-27","MNPCA"
"2003-11-26","MNPCA"
"2004-12-14","MNPCA"
"2005-12-05","MNPCA"
"2006-12-01","MNPCA"
"2007-11-26","MNPCA"
"2007-11-29","MNPCA"
"2008-12-01","MNPCA"
"2017-12-07","MNPCA"
"2022-12-19","MNPCA"
