"Name: Harriet"
"ID: 27001600"
"Ice In Date","Source"
"1963-12-17","MNPCA"
"1964-12-08","MNPCA"
"1965-12-18","MNPCA"
"1966-12-05","MNPCA"
"1967-12-23","MNPCA"
"1968-12-09","MNPCA"
"1970-12-12","MNPCA"
"1971-12-26","MNPCA"
"1975-12-02","MNPCA"
"1979-12-12","MNDNR-SCO"
"1980-12-09","MNDNR-SCO"
"1981-12-09","MNDNR-SCO"
"1982-12-13","MNPCA"
"1983-12-03","MNDNR-SCO"
"1983-12-07","MNPCA"
"1984-12-04","MNPCA"
"1985-12-04","MNPCA"
"1986-12-05","MNPCA"
"1987-12-17","MNPCA"
"1988-12-01","MNPCA"
"1989-11-30","MNPCA"
"1990-12-18","MNPCA"
"1990-12-20","MNDNR-SCO"
"1991-11-26","MNPCA"
"1991-11-26","MNDNR-SCO"
"1992-12-18","MNDNR-SCO"
"1992-12-20","MNPCA"
"1993-12-11","MNPCA"
"1994-12-11","MNPCA"
"1995-11-27","MNPCA"
"1995-11-28","MNDNR-SCO"
"1996-11-25","MNPCA"
"1997-12-26","MNPCA"
"1998-12-23","MNDNR-SCO"
"1998-12-25","MNPCA"
"1999-12-21","MNPCA"
"2000-12-08","MNPCA"
"2001-12-31","MNPCA"
"2002-12-04","MNPCA"
"2003-12-11","MNPCA"
"2004-12-19","MNPCA"
"2007-12-07","MNPCA"
"2014-12-01","MNDNR-SCO"
"2014-12-01","MNDNR"
"2015-12-31","MNPCA"
"2016-12-15","MNDNR-SCO"
"2017-12-12","MNDNR-SCO"
"2017-12-18","MNPCA"
"2018-12-08","MNPCA"
"2022-12-07","MNPCA"
