"Name: Nokomis"
"ID: 27001900"
"Ice In Date","Source"
"1964-11-23","MNPCA"
"1966-12-05","MNPCA"
"1967-11-27","MNPCA"
"1968-12-06","MNPCA"
"1970-12-12","MNPCA"
"1975-11-26","MNPCA"
"1983-11-30","MNPCA"
"1984-12-04","MNPCA"
"1988-11-17","MNPCA"
"1989-11-18","MNPCA"
"1990-12-02","MNPCA"
"1991-11-01","MNPCA"
"1992-11-30","MNPCA"
"1993-11-30","MNPCA"
"1994-12-02","MNPCA"
"1995-11-12","MNPCA"
"1996-11-12","MNPCA"
"1997-11-15","MNPCA"
"1998-12-18","MNPCA"
"1999-12-13","MNPCA"
"2000-11-22","MNPCA"
"2001-12-20","MNPCA"
"2002-12-04","MNPCA"
"2003-11-26","MNPCA"
"2004-12-14","MNPCA"
"2005-12-05","MNPCA"
"2006-12-05","MNPCA"
"2007-12-03","MNPCA"
"2008-11-25","MNPCA"
"2015-12-19","MNPCA"
"2017-12-11","MNPCA"
"2022-11-22","MNDNR-SCO"
"2022-11-30","MNPCA"
