"Name: Bde Maka Ska"
"ID: 27003100"
"Ice In Date","Source"
"1962-12-12","MNPCA"
"1963-12-12","MNPCA"
"1964-12-08","MNPCA"
"1965-12-18","MNPCA"
"1966-12-05","MNPCA"
"1967-12-23","MNPCA"
"1968-12-09","MNPCA"
"1970-12-12","MNPCA"
"1971-12-26","MNPCA"
"1973-12-11","MNPCA"
"1975-12-02","MNPCA"
"1978-11-30","MNPCA"
"1982-12-13","MNPCA"
"1983-12-05","MNPCA"
"1984-12-07","MNPCA"
"1985-12-04","MNPCA"
"1986-12-05","MNPCA"
"1986-12-05","MNDNR-SCO"
"1987-12-17","MNPCA"
"1988-12-01","MNPCA"
"1989-11-30","MNPCA"
"1989-12-07","MNDNR-SCO"
"1990-12-18","MNPCA"
"1990-12-19","MNDNR-SCO"
"1991-11-26","MNPCA"
"1991-11-26","MNDNR-SCO"
"1992-12-18","MNDNR-SCO"
"1992-12-20","MNPCA"
"1993-12-11","MNPCA"
"1994-12-11","MNDNR-SCO"
"1994-12-11","MNPCA"
"1995-11-27","MNPCA"
"1995-11-28","MNDNR-SCO"
"1996-11-25","MNPCA"
"1997-12-26","MNPCA"
"1998-12-23","MNDNR-SCO"
"1998-12-25","MNPCA"
"1999-12-21","MNPCA"
"2000-12-08","MNPCA"
"2001-12-31","MNPCA"
"2002-12-05","MNPCA"
"2003-12-12","MNPCA"
"2004-12-19","MNPCA"
"2005-12-06","MNPCA"
"2007-12-04","MNPCA"
"2007-12-05","MNPCA"
"2008-12-10","MNPCA"
"2014-11-28","MNDNR"
"2014-11-28","MNDNR-SCO"
"2015-12-31","MNPCA"
"2016-12-15","MNDNR-SCO"
"2017-12-12","MNDNR-SCO"
"2017-12-18","MNPCA"
"2018-11-28","MNDNR-SCO"
"2018-12-08","MNPCA"
"2022-12-08","MNPCA"
