"Name: Wirth"
"ID: 27003700"
"Ice In Date","Source"
"1964-11-23","MNPCA"
"1966-12-05","MNPCA"
"1967-12-04","MNPCA"
"1968-12-05","MNPCA"
"1975-11-22","MNPCA"
"1976-11-15","MNPCA"
"1977-11-24","MNPCA"
"1978-11-22","MNPCA"
"1979-11-25","MNPCA"
"1980-11-25","MNPCA"
"1981-11-30","MNPCA"
"1982-12-07","MNPCA"
"1983-11-23","MNPCA"
"1983-11-30","MNPCA"
"1984-12-03","MNPCA"
"1984-12-04","MNPCA"
"1985-11-21","MNPCA"
"1986-11-13","MNPCA"
"1987-11-24","MNPCA"
"1987-11-24","MNPCA"
"1988-11-16","MNPCA"
"1988-11-17","MNPCA"
"1989-11-18","MNPCA"
"1989-11-21","MNPCA"
"1990-12-01","MNPCA"
"1990-12-02","MNPCA"
"1991-11-04","MNPCA"
"1991-11-05","MNPCA"
"1992-11-26","MNPCA"
"1992-11-27","MNPCA"
"1993-11-26","MNPCA"
"1993-11-28","MNPCA"
"1994-11-29","MNPCA"
"1994-12-05","MNPCA"
"1995-11-10","MNPCA"
"1995-11-10","MNPCA"
"1995-11-12","MNDNR-SCO"
"1996-11-12","MNDNR-SCO"
"1996-11-12","MNPCA"
"1996-11-12","MNPCA"
"1997-11-15","MNPCA"
"1997-11-15","MNPCA"
"1998-12-19","MNPCA"
"1998-12-20","MNPCA"
"1999-12-12","MNPCA"
"1999-12-16","MNPCA"
"2000-11-21","MNPCA"
"2000-11-21","MNPCA"
"2001-12-20","MNPCA"
"2001-12-21","MNPCA"
"2002-11-27","MNPCA"
"2003-11-24","MNPCA"
"2003-12-02","MNPCA"
"2004-12-14","MNPCA"
"2005-12-03","MNPCA"
"2005-12-05","MNPCA"
"2006-11-30","MNPCA"
"2006-12-01","MNPCA"
"2007-11-26","MNPCA"
"2007-12-04","MNPCA"
"2008-11-25","MNPCA"
"2008-11-26","MNPCA"
"2017-12-07","MNPCA"
"2022-11-22","MNPCA"
