"Name: Lake of the Isles"
"ID: 27004000"
"Ice In Date","Source"
"1912-12-07","MNPCA"
"1913-12-11","MNPCA"
"1914-11-20","MNPCA"
"1915-12-02","MNPCA"
"1946-11-20","MNPCA"
"1947-11-23","MNPCA"
"1948-11-28","MNPCA"
"1949-11-25","MNPCA"
"1950-11-24","MNPCA"
"1951-12-07","MNPCA"
"1952-11-28","MNPCA"
"1953-12-02","MNPCA"
"1954-12-02","MNPCA"
"1955-11-19","MNPCA"
"1956-11-23","MNPCA"
"1957-11-26","MNPCA"
"1958-11-27","MNPCA"
"1959-11-12","MNPCA"
"1960-12-01","MNPCA"
"1961-12-08","MNPCA"
"1962-12-12","MNPCA"
"1963-12-02","MNPCA"
"1963-12-02","MNPCA"
"1964-11-23","MNPCA"
"1965-11-30","MNPCA"
"1966-12-05","MNPCA"
"1967-12-04","MNPCA"
"1968-12-07","MNPCA"
"1969-12-04","MNPCA"
"1970-12-04","MNPCA"
"1973-12-08","MNPCA"
"1975-11-28","MNPCA"
"1982-12-08","MNPCA"
"1983-11-30","MNPCA"
"1984-12-04","MNPCA"
"1987-11-24","MNPCA"
"1988-11-20","MNPCA"
"1988-11-21","MNPCA"
"1989-11-18","MNPCA"
"1990-11-29","MNPCA"
"1990-12-02","MNPCA"
"1991-11-05","MNPCA"
"1992-11-27","MNPCA"
"1993-11-27","MNPCA"
"1993-11-27","MNPCA"
"1994-11-28","MNPCA"
"1995-11-12","MNPCA"
"1995-11-13","MNPCA"
"1996-11-12","MNDNR-SCO"
"1996-11-12","MNPCA"
"1997-11-15","MNPCA"
"1997-11-16","MNDNR-SCO"
"1997-11-17","MNPCA"
"1998-12-17","MNPCA"
"1999-12-21","MNPCA"
"2000-11-21","MNPCA"
"2001-12-20","MNPCA"
"2002-12-03","MNPCA"
"2003-11-26","MNPCA"
"2004-12-14","MNPCA"
"2005-12-02","MNPCA"
"2006-01-02","MNPCA"
"2007-12-04","MNPCA"
"2008-11-25","MNPCA"
"2017-12-07","MNPCA"
"2022-11-21","MNPCA"
