"Name: Minnetonka"
"ID: 27013300"
"Ice In Date","Source"
"1978-12-02","MNDNR-SCO"
"1979-12-13","MNDNR-SCO"
"1980-12-09","MNDNR-SCO"
"1981-12-15","MNDNR-SCO"
"1982-12-11","MNDNR-SCO"
"1983-12-02","MNDNR-SCO"
"1984-12-06","MNDNR-SCO"
"1985-11-27","MNDNR-SCO"
"1986-12-05","MNDNR-SCO"
"1987-12-17","MNDNR-SCO"
"1988-12-01","MNDNR-SCO"
"1989-12-03","MNDNR-SCO"
"1990-12-18","MNDNR-SCO"
"1991-11-25","MNDNR-SCO"
"1992-12-18","MNDNR-SCO"
"1993-12-11","MNDNR-SCO"
"1994-12-11","MNDNR-SCO"
"1995-11-28","MNDNR-SCO"
"1996-11-25","MNDNR-SCO"
"1997-12-26","MNDNR-SCO"
"1998-12-25","MNDNR-SCO"
"1999-12-21","MNDNR-SCO"
"2000-12-05","MNDNR-SCO"
"2002-01-02","MNDNR-SCO"
"2002-12-03","MNDNR-SCO"
"2003-12-12","MNDNR-SCO"
"2004-12-19","MNDNR-SCO"
"2005-12-07","MNDNR-SCO"
"2006-12-04","MNPCA"
"2006-12-05","MNDNR-SCO"
"2007-12-03","MNDNR-SCO"
"2008-12-07","MNDNR-SCO"
"2009-12-15","MNDNR"
"2009-12-15","MNDNR-SCO"
"2010-12-03","MNDNR"
"2010-12-03","MNDNR-SCO"
"2011-12-16","MNDNR"
"2011-12-16","MNDNR-SCO"
"2011-12-16","MNDNR"
"2012-12-22","MNDNR"
"2012-12-22","MNDNR-SCO"
"2013-11-29","MNDNR-SCO"
"2013-11-29","MNDNR"
"2014-11-27","MNDNR"
"2014-11-27","MNDNR-SCO"
"2016-12-15","MNDNR-SCO"
"2017-12-14","MNDNR-SCO"
"2018-11-28","MNDNR-SCO"
"2019-12-02","MNDNR-SCO"
"2020-12-24","MNDNR-SCO"
"2021-12-08","MNDNR-SCO"
"2022-12-08","MNDNR-SCO"
