"Name: Loring"
"ID: 27065500"
"Ice In Date","Source"
"1964-11-23","MNPCA"
"1966-12-05","MNPCA"
"1968-12-03","MNPCA"
"1970-12-04","MNPCA"
"1983-11-30","MNPCA"
"1984-12-04","MNPCA"
"1991-11-01","MNPCA"
"1992-12-14","MNPCA"
"1993-11-26","MNPCA"
"1994-11-30","MNPCA"
"1995-11-10","MNPCA"
"1996-11-12","MNPCA"
"1997-11-15","MNPCA"
"1998-12-17","MNPCA"
"1999-12-21","MNPCA"
"2000-12-02","MNPCA"
"2001-12-21","MNPCA"
"2002-12-05","MNPCA"
"2003-11-26","MNPCA"
"2004-12-14","MNPCA"
"2005-12-01","MNPCA"
"2006-12-04","MNPCA"
"2007-12-04","MNPCA"
"2008-12-02","MNPCA"
"2017-12-07","MNPCA"
"2022-11-21","MNPCA"
