"Name: Eighth Crow Wing"
"ID: 29007200"
"Ice In Date","Source"
"1996-11-13","MNDNR-LLMMP"
"1996-11-13","MNPCA"
"1997-11-16","MNDNR-LLMMP"
"1997-11-16","MNPCA"
"1998-12-10","MNDNR-LLMMP"
"1998-12-10","MNPCA"
"1999-12-06","MNDNR-LLMMP"
"1999-12-06","MNPCA"
"2000-11-21","MNDNR-LLMMP"
"2000-11-21","MNPCA"
"2001-12-01","MNDNR-LLMMP"
"2001-12-01","MNPCA"
"2002-11-12","MNDNR-LLMMP"
"2002-11-12","MNPCA"
"2004-12-01","MNDNR-LLMMP"
"2004-12-01","MNPCA"
"2005-11-29","MNDNR-LLMMP"
"2005-11-29","MNPCA"
"2006-12-01","MNDNR-LLMMP"
"2006-12-01","MNPCA"
"2007-11-29","MNDNR-LLMMP"
"2007-11-29","MNPCA"
"2009-12-06","MNDNR-LLMMP"
"2010-11-24","MNDNR-LLMMP"
"2016-12-02","MNDNR-LLMMP"
"2018-11-23","MNPCA"
"2022-11-24","MNPCA"
