"Name: Kabekona"
"ID: 29007500"
"Ice In Date","Source"
"1905-11-30","MNDNR-LAKESDB"
"1906-12-01","MNDNR-LAKESDB"
"1908-12-02","MNDNR-SCO"
"1909-12-05","MNDNR-LAKESDB"
"1910-12-06","MNDNR-LAKESDB"
"1911-11-20","MNDNR-LAKESDB"
"1913-12-22","MNDNR-LAKESDB"
"1915-12-15","MNDNR-LAKESDB"
"1917-12-07","MNDNR-LAKESDB"
"1918-12-15","MNDNR-LAKESDB"
"1919-12-19","MNDNR-LAKESDB"
"1920-11-26","MNDNR-LAKESDB"
"1921-12-17","MNDNR-LAKESDB"
"1922-12-09","MNDNR-SCO"
"1924-12-05","MNDNR-SCO"
"1925-11-28","MNDNR-LAKESDB"
"1927-12-01","MNDNR-LAKESDB"
"1929-11-29","MNDNR-LAKESDB"
"1932-11-25","MNDNR-LAKESDB"
"1934-12-24","MNDNR-SCO"
"1977-12-05","MNPCA"
"1978-12-01","MNPCA"
"1978-12-01","MNDNR-SCO"
"1979-12-12","MNPCA"
"1979-12-12","MNDNR-SCO"
"1980-12-08","MNPCA"
"1980-12-08","MNDNR-SCO"
"1981-12-15","MNPCA"
"1982-12-09","MNPCA"
"1983-12-04","MNPCA"
"1984-12-06","MNDNR-SCO"
"1984-12-06","MNPCA"
"1985-11-28","MNPCA"
"1986-12-07","MNPCA"
"1986-12-07","MNDNR-SCO"
"1987-12-19","MNPCA"
"1988-12-11","MNPCA"
"1989-12-04","MNPCA"
"1989-12-04","MNDNR-SCO"
"1990-12-18","MNDNR-SCO"
"1991-11-26","MNPCA"
"1991-11-26","MNDNR-SCO"
"1992-12-08","MNPCA"
"1992-12-08","MNDNR-SCO"
"1993-11-30","MNPCA"
"1994-12-10","MNPCA"
"1994-12-10","MNDNR-SCO"
"1995-11-28","MNDNR-SCO"
"1995-11-28","MNPCA"
"1996-11-27","MNPCA"
"1996-11-27","MNDNR-SCO"
"1997-12-25","MNPCA"
"1997-12-25","MNDNR-SCO"
"1998-12-21","MNDNR-SCO"
"1998-12-21","MNPCA"
"1999-12-21","MNPCA"
"2000-12-05","MNPCA"
"2001-12-22","MNPCA"
"2002-12-03","MNPCA"
"2003-12-12","MNPCA"
"2004-12-17","MNPCA"
"2005-12-18","MNPCA"
"2006-12-21","MNPCA"
"2007-12-05","MNPCA"
"2008-12-07","MNPCA"
"2009-12-14","MNDNR-LLMMP"
"2010-12-03","MNDNR-LLMMP"
"2015-12-28","MNDNR-LLMMP"
"2016-12-15","MNDNR-LLMMP"
"2019-12-11","MNDNR-LLMMP"
"2020-12-16","MNDNR-LLMMP"
"2022-12-13","MNPCA"
