"Name: Portage"
"ID: 29025000"
"Ice In Date","Source"
"1975-11-22","MNPCA"
"1975-11-22","MNDNR-SCO"
"1976-11-07","MNDNR-SCO"
"1976-11-07","MNPCA"
"1977-11-12","MNDNR-SCO"
"1977-11-12","MNPCA"
"1978-11-15","MNDNR-SCO"
"1978-11-15","MNPCA"
"1979-11-09","MNDNR-SCO"
"1979-11-09","MNPCA"
"1980-11-18","MNDNR-SCO"
"1980-11-18","MNPCA"
"1981-11-21","MNDNR-SCO"
"1981-11-21","MNPCA"
"1982-11-13","MNPCA"
"1982-11-13","MNDNR-SCO"
"1983-11-22","MNPCA"
"1983-11-22","MNDNR-SCO"
"1984-11-02","MNDNR-SCO"
"1984-11-02","MNPCA"
"1985-11-11","MNDNR-SCO"
"1985-11-11","MNPCA"
"1986-11-10","MNPCA"
"1986-11-10","MNDNR-SCO"
"1987-11-21","MNDNR-SCO"
"1987-11-21","MNPCA"
"1988-11-18","MNPCA"
"1988-11-18","MNDNR-SCO"
"1989-11-12","MNDNR-SCO"
"1989-11-12","MNPCA"
"1990-11-24","MNDNR-SCO"
"1990-11-24","MNPCA"
"1991-11-03","MNPCA"
"1991-11-03","MNDNR-SCO"
"1992-11-14","MNDNR-SCO"
"1992-11-14","MNPCA"
"1993-10-31","MNDNR-SCO"
"1993-10-31","MNPCA"
"1994-11-23","MNPCA"
"1994-11-23","MNDNR-SCO"
"1995-11-04","MNDNR-SCO"
"1995-11-04","MNPCA"
"1996-11-11","MNPCA"
"1996-11-11","MNDNR-SCO"
"1997-11-12","MNDNR-SCO"
"1998-11-12","MNPCA"
"1998-11-12","MNDNR-SCO"
"1999-11-28","MNPCA"
"1999-11-28","MNDNR-SCO"
"2000-11-21","MNPCA"
"2000-11-21","MNDNR-SCO"
"2001-11-29","MNDNR-SCO"
"2001-11-29","MNPCA"
"2002-11-13","MNDNR-SCO"
"2002-11-13","MNPCA"
"2003-11-06","MNDNR-SCO"
"2003-11-06","MNPCA"
"2004-11-24","MNPCA"
"2004-11-24","MNDNR-SCO"
"2005-11-17","MNDNR-SCO"
"2006-11-11","MNDNR-SCO"
"2006-11-11","MNPCA"
"2007-11-22","MNDNR-SCO"
"2007-11-22","MNPCA"
"2008-11-18","MNDNR-SCO"
"2008-11-18","MNPCA"
"2009-12-05","MNDNR-LLMMP"
"2010-11-20","MNDNR-LLMMP"
"2011-11-18","MNDNR-LLMMP"
"2012-11-13","MNDNR-LLMMP"
"2012-11-13","MNDNR-SCO"
"2013-11-12","MNDNR-LLMMP"
"2014-11-14","MNPCA"
"2015-11-21","MNPCA"
"2015-11-21","MNDNR-LLMMP"
"2017-11-06","MNDNR-LLMMP"
"2018-11-10","MNPCA"
"2018-11-10","MNDNR-SCO"
"2020-11-13","MNDNR-SCO"
"2021-11-19","MNDNR-SCO"
"2022-11-17","MNPCA"
