"Name: Florence"
"ID: 30003500"
"Ice In Date","Source"
"2007-11-26","MNDNR-LAKESDB"
"2009-12-04","MNDNR-LLMMP"
"2010-11-23","MNDNR-LLMMP"
"2011-11-20","MNDNR-LLMMP"
"2012-11-25","MNDNR-LLMMP"
"2013-11-18","MNDNR-LLMMP"
"2014-11-12","MNDNR-LLMMP"
"2015-12-19","MNDNR-LLMMP"
"2016-12-08","MNDNR-LLMMP"
"2017-12-06","MNDNR-LLMMP"
"2017-12-07","MNPCA"
"2018-11-10","MNPCA"
"2018-11-14","MNDNR-LLMMP"
"2019-11-05","MNDNR-SCO"
"2019-11-10","MNDNR-LLMMP"
"2020-12-02","MNDNR-LLMMP"
"2021-12-07","MNDNR-LLMMP"
"2022-11-19","MNPCA"
