"Name: Beatrice"
"ID: 31005800"
"Ice In Date","Source"
"1991-11-04","MNPCA"
"1992-11-07","MNPCA"
"1993-11-06","MNPCA"
"1994-11-23","MNPCA"
"1995-11-09","MNPCA"
"1996-11-12","MNPCA"
"1997-11-11","MNPCA"
"1998-11-21","MNPCA"
"1999-12-06","MNPCA"
"2000-11-21","MNPCA"
"2001-11-30","MNPCA"
"2002-11-13","MNPCA"
"2003-11-08","MNPCA"
"2004-11-24","MNPCA"
"2005-11-17","MNPCA"
"2006-11-19","MNPCA"
"2007-11-22","MNPCA"
"2008-11-18","MNPCA"
"2009-12-05","MNDNR-LLMMP"
"2010-11-23","MNDNR-LLMMP"
"2012-11-23","MNDNR-SCO"
"2012-11-24","MNDNR-LLMMP"
"2013-11-22","MNDNR-LLMMP"
"2014-11-14","MNDNR-LLMMP"
"2015-11-26","MNPCA"
"2015-11-26","MNDNR-LLMMP"
"2016-11-27","MNDNR-LLMMP"
"2017-11-07","MNPCA"
"2018-11-13","MNPCA"
"2018-11-13","MNDNR-LLMMP"
"2019-11-06","MNDNR-LLMMP"
"2020-11-16","MNDNR-LLMMP"
"2021-11-25","MNDNR-LLMMP"
"2022-11-20","MNPCA"
