"Name: Unnamed"
"ID: 31006100"
"Ice In Date","Source"
"1979-11-04","MNPCA"
"1980-11-10","MNPCA"
"1983-11-12","MNPCA"
"1984-11-10","MNPCA"
"1985-11-11","MNPCA"
"1986-11-10","MNPCA"
"1987-11-20","MNPCA"
"1988-10-29","MNPCA"
"1989-11-12","MNPCA"
"1990-11-23","MNPCA"
"1991-11-03","MNPCA"
"1992-11-06","MNPCA"
"1993-11-06","MNPCA"
"1994-11-22","MNPCA"
"1995-11-04","MNPCA"
"1996-11-10","MNPCA"
"1997-11-10","MNPCA"
"1998-11-12","MNPCA"
"1999-11-24","MNPCA"
"2000-11-17","MNPCA"
"2001-11-26","MNPCA"
"2002-11-13","MNPCA"
"2003-11-05","MNPCA"
"2004-11-19","MNPCA"
"2005-11-16","MNPCA"
"2006-11-13","MNPCA"
"2007-11-18","MNPCA"
"2015-11-21","MNPCA"
"2017-11-06","MNPCA"
"2018-11-10","MNPCA"
"2022-11-13","MNPCA"
