"Name: Wabana"
"ID: 31039200"
"Ice In Date","Source"
"1999-12-17","MNPCA"
"2000-12-02","MNPCA"
"2001-12-20","MNPCA"
"2001-12-22","MNPCA"
"2002-11-26","MNPCA"
"2002-11-26","MNPCA"
"2003-11-25","MNPCA"
"2003-11-26","MNPCA"
"2004-12-13","MNPCA"
"2004-12-14","MNPCA"
"2004-12-14","MNPCA"
"2005-12-02","MNPCA"
"2006-11-30","MNPCA"
"2006-12-01","MNPCA"
"2006-12-01","MNPCA"
"2007-11-30","MNPCA"
"2007-12-01","MNPCA"
"2007-12-01","MNPCA"
"2008-12-02","MNPCA"
"2014-11-21","MNPCA"
"2017-12-07","MNPCA"
"2018-11-20","MNPCA"
"2022-12-01","MNPCA"
