"Name: Green"
"ID: 34007900"
"Ice In Date","Source"
"1908-12-01","MNPCA"
"1914-12-10","MNPCA"
"1926-12-05","MNPCA"
"1927-11-23","MNPCA"
"1929-11-24","MNPCA"
"1930-11-27","MNPCA"
"1932-11-17","MNPCA"
"1952-12-02","MNPCA"
"1953-11-27","MNPCA"
"1954-12-04","MNPCA"
"1955-11-24","MNPCA"
"1956-12-07","MNPCA"
"1957-12-04","MNPCA"
"1958-11-30","MNPCA"
"1959-12-01","MNPCA"
"1960-12-08","MNPCA"
"1961-12-08","MNPCA"
"1962-12-12","MNPCA"
"1963-12-10","MNPCA"
"1964-11-29","MNPCA"
"1965-11-29","MNPCA"
"1966-12-01","MNDNR-LAKESDB"
"1966-12-02","MNPCA"
"1967-11-28","MNPCA"
"1968-12-06","MNPCA"
"1969-12-01","MNPCA"
"1970-11-24","MNPCA"
"1971-12-01","MNPCA"
"1972-12-02","MNPCA"
"1973-12-10","MNPCA"
"1974-12-02","MNPCA"
"1975-12-01","MNPCA"
"1976-11-26","MNPCA"
"1977-11-26","MNPCA"
"1978-11-28","MNPCA"
"1979-12-02","MNPCA"
"1980-12-03","MNPCA"
"1981-12-10","MNPCA"
"1982-12-09","MNPCA"
"1983-12-01","MNPCA"
"1984-11-29","MNPCA"
"1984-12-04","MNDNR-SCO"
"1985-11-23","MNPCA"
"1986-11-21","MNPCA"
"1987-11-23","MNPCA"
"1988-11-28","MNDNR-SCO"
"1988-11-28","MNPCA"
"1989-11-26","MNPCA"
"1989-11-26","MNDNR-SCO"
"1989-11-28","MNDNR-LAKESDB"
"1990-12-04","MNPCA"
"1990-12-17","MNDNR-SCO"
"1991-11-25","MNDNR-LAKESDB"
"1991-11-25","MNDNR-SCO"
"1991-11-26","MNPCA"
"1992-11-28","MNDNR-SCO"
"1992-11-28","MNPCA"
"1993-11-26","MNDNR-SCO"
"1993-11-26","MNPCA"
"1994-12-06","MNPCA"
"1994-12-06","MNDNR-SCO"
"1995-11-24","MNDNR-SCO"
"1995-11-24","MNPCA"
"1996-11-22","MNPCA"
"1997-11-24","MNPCA"
"1998-12-20","MNDNR-SCO"
"1998-12-20","MNPCA"
"1999-12-17","MNPCA"
"1999-12-17","MNDNR-SCO"
"2000-12-01","MNPCA"
"2000-12-02","MNDNR-SCO"
"2001-12-20","MNDNR-SCO"
"2001-12-25","MNPCA"
"2001-12-25","MNPCA"
"2002-12-03","MNPCA"
"2002-12-03","MNPCA"
"2003-12-02","MNPCA"
"2003-12-02","MNPCA"
"2004-12-14","MNPCA"
"2004-12-14","MNPCA"
"2005-12-02","MNPCA"
"2006-12-05","MNPCA"
"2007-12-02","MNPCA"
"2007-12-02","MNDNR-SCO"
"2008-12-07","MNDNR-SCO"
"2009-12-10","MNDNR-SCO"
"2010-12-02","MNDNR-SCO"
"2011-12-06","MNDNR-SCO"
"2011-12-06","MNDNR"
"2012-12-10","MNDNR-SCO"
"2013-11-27","MNDNR-LLMMP"
"2014-11-21","MNDNR"
"2014-11-21","MNDNR-SCO"
"2015-12-20","MNDNR-SCO"
"2016-12-10","MNDNR-SCO"
"2017-12-12","MNDNR-SCO"
"2018-11-27","MNDNR-SCO"
"2019-12-02","MNDNR-SCO"
"2021-12-08","MNDNR-SCO"
"2022-12-04","MNDNR-SCO"
