"Name: Frances"
"ID: 40005700"
"Ice In Date","Source"
"1988-12-01","MNDNR-LLMMP"
"1999-01-10","MNDNR-LLMMP"
"2001-12-15","MNPCA"
"2006-12-02","MNDNR-LAKESDB"
"2006-12-04","MNPCA"
"2007-12-01","MNPCA"
"2007-12-01","MNPCA"
"2008-11-21","MNDNR-LAKESDB"
"2009-12-04","MNDNR-LLMMP"
"2011-12-15","MNPCA"
"2015-12-27","MNDNR-LLMMP"
"2016-12-10","MNDNR-SCO"
"2016-12-10","MNDNR-LLMMP"
"2017-12-15","MNDNR-SCO"
"2017-12-15","MNDNR-LLMMP"
"2018-11-21","MNDNR-SCO"
"2019-12-02","MNDNR-SCO"
"2022-11-22","MNDNR-SCO"
