"Name: Washington"
"ID: 40011700"
"Ice In Date","Source"
"1954-11-30","MNPCA"
"1958-11-27","MNPCA"
"1959-11-12","MNPCA"
"1960-11-30","MNPCA"
"1961-12-06","MNPCA"
"1963-12-10","MNPCA"
"1964-12-03","MNPCA"
"1965-11-28","MNPCA"
"1966-12-01","MNPCA"
"1967-11-28","MNPCA"
"1968-12-06","MNPCA"
"1969-11-20","MNPCA"
"1970-11-23","MNPCA"
"1971-11-30","MNPCA"
"1972-11-28","MNPCA"
"1973-12-06","MNPCA"
"1974-12-03","MNPCA"
"1975-11-26","MNPCA"
"1976-11-14","MNPCA"
"1977-11-25","MNPCA"
"1978-11-22","MNPCA"
"1979-11-30","MNPCA"
"1980-11-03","MNPCA"
"1981-12-06","MNPCA"
"1982-11-27","MNPCA"
"1983-12-08","MNPCA"
"1984-12-09","MNPCA"
"1985-11-21","MNPCA"
"1986-11-13","MNPCA"
"1987-12-04","MNPCA"
"1988-11-28","MNPCA"
"1989-11-15","MNPCA"
"1990-12-01","MNPCA"
"1991-11-01","MNPCA"
"1992-11-15","MNPCA"
"1993-11-15","MNPCA"
"1994-11-30","MNPCA"
"1995-12-01","MNPCA"
"1996-11-22","MNPCA"
"1997-11-16","MNPCA"
"1998-11-29","MNPCA"
"1999-12-06","MNPCA"
"2000-11-21","MNPCA"
"2001-12-20","MNPCA"
"2002-12-03","MNPCA"
"2003-11-26","MNPCA"
"2004-12-14","MNPCA"
"2005-12-02","MNPCA"
"2006-12-03","MNPCA"
"2017-12-24","MNPCA"
"2018-12-09","MNPCA"
"2022-11-20","MNDNR-SCO"
