"Name: Little McDonald"
"ID: 56032800"
"Ice In Date","Source"
"1977-12-03","MNPCA"
"1978-11-30","MNPCA"
"1979-12-11","MNPCA"
"1980-12-02","MNPCA"
"1981-12-12","MNPCA"
"1982-12-09","MNPCA"
"1983-12-03","MNPCA"
"1984-12-06","MNPCA"
"1985-11-24","MNPCA"
"1986-12-05","MNPCA"
"1987-12-01","MNPCA"
"1988-12-01","MNPCA"
"1989-12-03","MNPCA"
"1990-12-10","MNPCA"
"1991-11-25","MNPCA"
"1992-12-07","MNPCA"
"1993-11-28","MNPCA"
"1994-12-06","MNPCA"
"1995-11-28","MNPCA"
"1996-11-21","MNPCA"
"1997-12-20","MNPCA"
"1998-12-21","MNPCA"
"1999-12-21","MNPCA"
"2000-12-11","MNPCA"
"2001-12-20","MNPCA"
"2002-01-02","MNPCA"
"2002-11-27","MNPCA"
"2003-12-11","MNPCA"
"2003-12-11","MNPCA"
"2004-12-16","MNPCA"
"2007-12-02","MNPCA"
"2007-12-03","MNPCA"
"2008-12-07","MNDNR-LAKESDB"
"2013-11-28","MNDNR-LLMMP"
"2014-11-27","MNDNR-LLMMP"
"2014-11-30","MNPCA"
"2015-12-25","MNPCA"
"2015-12-27","MNDNR-LLMMP"
"2016-12-15","MNDNR-SCO"
"2016-12-15","MNDNR-LLMMP"
"2017-12-12","MNDNR-SCO"
"2017-12-13","MNDNR-LLMMP"
"2018-11-21","MNDNR-SCO"
"2019-12-02","MNDNR-SCO"
"2019-12-02","MNDNR-LLMMP"
"2020-12-15","MNDNR-LLMMP"
"2020-12-15","MNDNR-SCO"
"2021-12-07","MNDNR-SCO"
"2021-12-09","MNDNR-LLMMP"
"2022-12-04","MNDNR-SCO"
