"Name: Paul"
"ID: 56033500"
"Ice In Date","Source"
"1979-12-01","MNPCA"
"1980-12-02","MNPCA"
"1981-12-13","MNPCA"
"1982-11-23","MNPCA"
"1983-12-01","MNPCA"
"1984-12-02","MNPCA"
"1985-11-21","MNPCA"
"1986-12-05","MNPCA"
"1987-12-04","MNPCA"
"1988-11-28","MNPCA"
"1989-11-24","MNPCA"
"1990-12-01","MNPCA"
"1991-11-25","MNPCA"
"1992-12-07","MNPCA"
"1993-11-26","MNPCA"
"1994-12-06","MNPCA"
"1995-12-01","MNPCA"
"1996-11-19","MNPCA"
"1997-11-24","MNPCA"
"1998-12-20","MNPCA"
"1999-12-01","MNPCA"
"2000-12-02","MNPCA"
"2001-12-01","MNPCA"
"2002-11-25","MNPCA"
"2003-11-26","MNPCA"
"2004-12-14","MNPCA"
"2006-12-01","MNPCA"
"2007-12-01","MNPCA"
"2014-11-21","MNPCA"
"2016-12-10","MNDNR-LLMMP"
"2017-12-10","MNDNR-SCO"
"2018-11-20","MNDNR-SCO"
"2018-11-20","MNDNR-LLMMP"
"2019-12-02","MNDNR-LLMMP"
"2019-12-02","MNDNR-SCO"
"2020-12-01","MNDNR-SCO"
"2020-12-02","MNDNR-LLMMP"
"2021-12-07","MNDNR-LLMMP"
"2021-12-07","MNDNR-SCO"
"2022-12-02","MNDNR-SCO"
