"Name: Big Pine"
"ID: 58013800"
"Ice In Date","Source"
"1991-11-03","MNPCA"
"1992-11-15","MNPCA"
"1993-11-08","MNPCA"
"1994-11-29","MNPCA"
"1995-11-12","MNPCA"
"1996-11-11","MNPCA"
"1997-11-17","MNPCA"
"1998-11-21","MNPCA"
"1999-12-12","MNPCA"
"2001-12-06","MNPCA"
"2002-11-26","MNPCA"
"2002-11-26","MNPCA"
"2003-11-08","MNPCA"
"2004-12-14","MNPCA"
"2005-11-25","MNPCA"
"2006-12-01","MNPCA"
"2007-11-29","MNPCA"
"2008-11-21","MNPCA"
"2017-11-19","MNDNR-LLMMP"
"2017-12-12","MNPCA"
"2018-11-20","MNPCA"
"2019-11-12","MNDNR-LLMMP"
"2022-11-30","MNPCA"
