"Name: Gervais"
"ID: 62000700"
"Ice In Date","Source"
"2000-11-22","MNDNR-SCO"
"2001-12-20","MNDNR-SCO"
"2002-11-26","MNDNR-SCO"
"2003-11-26","MNPCA"
"2003-12-02","MNDNR-SCO"
"2004-12-14","MNDNR-SCO"
"2005-12-03","MNDNR-SCO"
"2006-12-05","MNDNR-SCO"
"2006-12-06","MNPCA"
"2007-12-01","MNDNR-SCO"
"2008-11-26","MNDNR-SCO"
"2009-12-10","MNDNR-SCO"
"2010-11-25","MNDNR-SCO"
"2011-12-09","MNDNR-SCO"
"2012-12-11","MNDNR-SCO"
"2013-11-27","MNDNR-SCO"
"2014-11-15","MNDNR-SCO"
"2015-12-19","MNDNR-SCO"
"2016-12-10","MNDNR-SCO"
"2017-12-10","MNDNR-SCO"
"2018-11-28","MNDNR-SCO"
"2019-12-02","MNDNR-SCO"
"2020-12-02","MNDNR-SCO"
"2021-12-07","MNDNR-SCO"
"2022-12-06","MNDNR-SCO"
