"Name: Cannon"
"ID: 66000800"
"Ice In Date","Source"
"1976-11-11","MNDNR-SCO"
"1977-11-24","MNDNR-SCO"
"1978-11-21","MNDNR-SCO"
"1979-11-30","MNDNR-SCO"
"1980-11-26","MNDNR-SCO"
"1981-12-05","MNDNR-SCO"
"1983-11-26","MNDNR-SCO"
"1984-12-03","MNDNR-SCO"
"1986-11-12","MNDNR-SCO"
"1988-11-20","MNDNR-SCO"
"1989-11-21","MNDNR-SCO"
"1990-12-02","MNDNR-SCO"
"1991-11-03","MNDNR-SCO"
"1992-11-27","MNDNR-SCO"
"1993-11-26","MNDNR-SCO"
"1994-11-30","MNDNR-SCO"
"1995-11-08","MNDNR-SCO"
"1998-12-19","MNDNR-SCO"
"2006-12-01","MNPCA"
"2011-12-06","MNDNR"
"2011-12-06","MNDNR-SCO"
"2017-12-07","MNDNR-SCO"
"2018-11-10","MNDNR-SCO"
"2019-12-02","MNDNR-SCO"
"2020-12-01","MNDNR-SCO"
"2021-12-06","MNDNR-SCO"
"2022-11-19","MNDNR-SCO"
