"Name: Cedar"
"ID: 66005200"
"Ice In Date","Source"
"1975-11-30","MNDNR-SCO"
"1976-12-01","MNDNR-SCO"
"1979-12-01","MNDNR-SCO"
"1980-11-05","MNDNR-SCO"
"1981-12-03","MNDNR-SCO"
"1982-12-08","MNDNR-SCO"
"1983-11-25","MNDNR-SCO"
"1984-12-04","MNDNR-SCO"
"1985-11-21","MNDNR-SCO"
"1986-11-12","MNDNR-SCO"
"1987-12-04","MNDNR-SCO"
"1988-11-20","MNDNR-SCO"
"1989-11-18","MNDNR-SCO"
"1990-12-02","MNDNR-SCO"
"1991-11-04","MNDNR-SCO"
"1992-11-14","MNDNR-SCO"
"1993-11-26","MNDNR-SCO"
"1994-12-08","MNDNR-SCO"
"1995-11-12","MNDNR-SCO"
"1996-11-11","MNDNR-SCO"
"1997-11-22","MNDNR-SCO"
"1998-12-20","MNDNR-SCO"
"1999-12-14","MNDNR-SCO"
"2000-11-21","MNDNR-SCO"
"2001-12-20","MNPCA"
"2002-11-26","MNPCA"
"2003-11-27","MNPCA"
"2004-12-14","MNPCA"
"2005-11-30","MNPCA"
"2006-12-04","MNPCA"
"2007-11-24","MNDNR-LAKESDB"
"2007-11-27","MNPCA"
"2008-11-21","MNPCA"
"2011-12-06","MNDNR"
"2011-12-06","MNDNR-SCO"
"2017-12-07","MNDNR-SCO"
"2017-12-07","MNPCA"
"2018-11-13","MNDNR-SCO"
"2019-12-02","MNDNR-SCO"
"2020-12-03","MNDNR-LLMMP"
"2021-12-06","MNDNR-SCO"
"2022-11-20","MNDNR-SCO"
