"Name: Shagawa"
"ID: 69006900"
"Ice In Date","Source"
"1965-11-17","MNPCA"
"1966-11-12","MNPCA"
"1967-11-15","MNPCA"
"1969-11-20","MNPCA"
"1971-11-21","MNPCA"
"1972-11-15","MNPCA"
"1973-11-24","MNPCA"
"1975-11-23","MNPCA"
"1977-11-22","MNPCA"
"1980-11-11","MNPCA"
"1981-12-08","MNPCA"
"1982-11-23","MNPCA"
"1983-11-27","MNPCA"
"1984-11-18","MNPCA"
"1985-11-21","MNPCA"
"1986-11-11","MNDNR-SCO"
"1986-11-13","MNPCA"
"1987-11-21","MNPCA"
"1988-11-19","MNPCA"
"1989-11-19","MNPCA"
"1990-11-29","MNPCA"
"1991-11-06","MNPCA"
"1992-11-15","MNPCA"
"1993-11-14","MNPCA"
"1995-11-11","MNPCA"
"1996-11-12","MNPCA"
"1997-11-17","MNPCA"
"1998-12-09","MNPCA"
"1999-12-06","MNPCA"
"2000-11-22","MNPCA"
"2001-12-07","MNDNR-SCO"
"2002-11-16","MNPCA"
"2002-12-10","MNPCA"
"2003-11-23","MNPCA"
"2015-11-29","MNPCA"
"2017-11-10","MNPCA"
"2018-11-14","MNPCA"
"2019-11-11","MNDNR-LLMMP"
"2022-11-19","MNPCA"
