"Name: Burntside"
"ID: 69011800"
"Ice In Date","Source"
"1987-12-17","MNDNR-SCO"
"1988-11-20","MNDNR-SCO"
"1989-12-03","MNDNR-SCO"
"1990-12-02","MNDNR-SCO"
"1991-11-26","MNDNR-SCO"
"1992-11-29","MNDNR-SCO"
"1993-11-28","MNDNR-SCO"
"1994-12-10","MNDNR-SCO"
"1995-11-25","MNDNR-SCO"
"1996-11-27","MNDNR-SCO"
"1997-12-08","MNDNR-SCO"
"1998-12-22","MNDNR-SCO"
"1999-12-17","MNDNR-SCO"
"2000-12-09","MNDNR-SCO"
"2001-12-28","MNDNR-SCO"
"2002-11-27","MNDNR-SCO"
"2003-12-03","MNDNR-SCO"
"2004-12-03","MNPCA"
"2005-12-17","MNDNR-SCO"
"2006-12-01","MNPCA"
"2006-12-07","MNDNR-SCO"
"2007-11-22","MNDNR-LAKESDB"
"2007-12-01","MNDNR-SCO"
"2007-12-01","MNPCA"
"2008-11-22","MNDNR-LAKESDB"
"2009-12-05","MNDNR-LLMMP"
"2009-12-14","MNDNR-SCO"
"2010-11-25","MNDNR-LLMMP"
"2011-11-17","MNDNR-LLMMP"
"2011-12-17","MNDNR-SCO"
"2018-11-11","MNPCA"
"2022-12-06","MNPCA"
