"Name: Upper Prior"
"ID: 70007200"
"Ice In Date","Source"
"1966-12-01","MNDNR-SCO"
"1966-12-01","MNDNR"
"1967-11-28","MNDNR"
"1967-11-28","MNDNR-SCO"
"1968-12-06","MNDNR"
"1968-12-06","MNDNR-SCO"
"1969-11-20","MNDNR-SCO"
"1969-11-20","MNDNR"
"1970-11-24","MNDNR"
"1970-11-24","MNDNR-SCO"
"1971-11-30","MNDNR"
"1971-11-30","MNDNR-SCO"
"1972-11-27","MNDNR"
"1972-11-27","MNDNR-SCO"
"1973-12-06","MNDNR"
"1973-12-06","MNDNR-SCO"
"1974-12-02","MNDNR-SCO"
"1974-12-02","MNDNR"
"1975-11-30","MNDNR"
"1975-11-30","MNDNR-SCO"
"1976-11-14","MNDNR"
"1976-11-14","MNDNR-SCO"
"1977-11-22","MNDNR-SCO"
"1977-11-22","MNDNR"
"1978-11-21","MNDNR-SCO"
"1978-11-21","MNDNR"
"1979-12-01","MNDNR"
"1979-12-01","MNDNR-SCO"
"1980-12-03","MNDNR-SCO"
"1980-12-03","MNDNR"
"1981-12-05","MNDNR-SCO"
"1981-12-05","MNDNR"
"1982-11-17","MNDNR"
"1982-11-17","MNDNR-SCO"
"1983-12-14","MNDNR-SCO"
"1983-12-14","MNDNR"
"1984-11-23","MNDNR"
"1984-11-23","MNDNR-SCO"
"1985-11-21","MNDNR"
"1985-11-21","MNDNR-SCO"
"1986-11-15","MNDNR-SCO"
"1986-11-15","MNDNR"
"1987-11-17","MNDNR"
"1987-11-17","MNDNR-SCO"
"1988-11-29","MNDNR"
"1988-11-29","MNDNR-SCO"
"1989-11-24","MNDNR"
"1989-11-24","MNDNR-SCO"
"1990-12-03","MNDNR"
"1990-12-03","MNDNR-SCO"
"1991-11-06","MNDNR-SCO"
"1992-12-07","MNDNR-SCO"
"1993-11-27","MNDNR-SCO"
"1994-12-11","MNDNR-SCO"
"1995-11-22","MNDNR-SCO"
"1996-11-23","MNDNR-SCO"
"1997-11-24","MNDNR-SCO"
"1998-12-21","MNDNR-SCO"
"1999-12-18","MNDNR-SCO"
"2000-11-25","MNDNR-SCO"
"2001-12-21","MNPCA"
"2001-12-24","MNDNR"
"2001-12-24","MNDNR-SCO"
"2002-11-26","MNPCA"
"2002-12-04","MNPCA"
"2002-12-04","MNDNR-SCO"
"2002-12-04","MNDNR"
"2003-12-01","MNPCA"
"2003-12-13","MNDNR-SCO"
"2003-12-13","MNDNR"
"2004-12-14","MNDNR"
"2004-12-14","MNDNR-SCO"
"2004-12-15","MNPCA"
"2005-12-01","MNDNR"
"2005-12-01","MNDNR-SCO"
"2006-12-01","MNPCA"
"2006-12-05","MNPCA"
"2006-12-05","MNDNR"
"2006-12-05","MNDNR-SCO"
"2007-12-01","MNDNR"
"2007-12-01","MNDNR-SCO"
"2007-12-01","MNPCA"
"2007-12-01","MNPCA"
"2007-12-02","MNPCA"
"2008-11-25","MNDNR-LLMMP"
"2008-11-25","MNPCA"
"2008-11-25","MNPCA"
"2008-11-25","MNPCA"
"2008-11-26","MNDNR"
"2008-11-26","MNDNR-LAKESDB"
"2008-11-26","MNDNR-SCO"
"2009-12-10","MNDNR-SCO"
"2009-12-10","MNDNR"
"2010-11-27","MNDNR-LLMMP"
"2010-12-02","MNDNR"
"2010-12-02","MNDNR-SCO"
"2010-12-02","MNDNR-LLMMP"
"2011-12-08","MNDNR"
"2011-12-08","MNDNR-SCO"
"2012-12-11","MNDNR-SCO"
"2012-12-11","MNDNR"
"2013-11-27","MNDNR"
"2013-11-27","MNDNR-SCO"
"2014-11-15","MNDNR"
"2014-11-15","MNDNR-SCO"
"2015-12-19","MNPCA"
"2017-12-07","MNPCA"
"2018-11-27","MNPCA"
"2022-11-22","MNPCA"
