"Name: Pelican"
"ID: 73011800"
"Ice In Date","Source"
"1995-11-12","MNDNR-LLMMP"
"1995-11-12","MNDNR-SCO"
"1995-11-12","MNPCA"
"1996-11-12","MNDNR-LLMMP"
"1996-11-12","MNDNR-SCO"
"1996-11-12","MNPCA"
"1997-11-16","MNDNR-LLMMP"
"1997-11-16","MNDNR-SCO"
"1997-11-16","MNPCA"
"1998-12-20","MNDNR-LLMMP"
"1998-12-20","MNDNR-SCO"
"1998-12-20","MNPCA"
"1999-11-23","MNDNR-LLMMP"
"1999-12-21","MNPCA"
"2000-11-23","MNDNR-LLMMP"
"2000-11-23","MNDNR-SCO"
"2000-11-23","MNPCA"
"2001-12-08","MNDNR-LLMMP"
"2001-12-08","MNDNR-SCO"
"2001-12-08","MNPCA"
"2002-11-25","MNDNR-LLMMP"
"2002-11-25","MNDNR-SCO"
"2002-11-25","MNPCA"
"2003-11-24","MNDNR-LLMMP"
"2003-11-24","MNDNR-SCO"
"2003-11-24","MNPCA"
"2003-11-26","MNPCA"
"2004-12-13","MNDNR-LLMMP"
"2004-12-13","MNDNR-SCO"
"2004-12-13","MNPCA"
"2005-11-30","MNDNR-LLMMP"
"2005-11-30","MNPCA"
"2006-12-01","MNDNR-LLMMP"
"2006-12-01","MNPCA"
"2006-12-01","MNPCA"
"2006-12-01","MNPCA"
"2007-11-30","MNDNR-LLMMP"
"2007-11-30","MNPCA"
"2007-12-01","MNPCA"
"2008-11-25","MNDNR-LLMMP"
"2009-12-07","MNDNR-LLMMP"
"2015-12-19","MNPCA"
"2017-12-07","MNPCA"
"2018-11-13","MNPCA"
"2022-12-12","MNPCA"
