"Name: Mound"
"ID: 77000700"
"Ice In Date","Source"
"1982-11-14","MNPCA"
"1984-11-18","MNPCA"
"1985-11-21","MNPCA"
"1986-11-21","MNPCA"
"1987-12-01","MNPCA"
"1988-12-01","MNPCA"
"1989-11-23","MNPCA"
"1990-12-02","MNPCA"
"1991-11-25","MNPCA"
"1992-11-27","MNPCA"
"1993-11-26","MNPCA"
"1994-11-15","MNPCA"
"1995-11-13","MNPCA"
"1996-11-13","MNPCA"
"1997-11-19","MNPCA"
"1998-12-20","MNPCA"
"1999-12-14","MNPCA"
"2000-11-20","MNPCA"
"2001-12-17","MNPCA"
"2002-11-16","MNPCA"
"2003-11-26","MNPCA"
"2003-12-02","MNPCA"
"2003-12-04","MNPCA"
"2004-12-13","MNPCA"
"2004-12-14","MNPCA"
"2005-11-30","MNPCA"
"2006-12-01","MNPCA"
"2006-12-01","MNPCA"
"2007-12-02","MNPCA"
"2007-12-02","MNPCA"
"2011-12-06","MNDNR"
"2011-12-06","MNDNR-SCO"
"2015-12-21","MNPCA"
"2017-12-10","MNPCA"
"2018-11-20","MNPCA"
"2022-12-02","MNPCA"
