"Name: Long (Main Basin)"
"ID: 77014901"
"Ice In Date","Source"
"1975-11-22","MNPCA"
"1976-11-12","MNPCA"
"1977-11-22","MNPCA"
"1978-11-20","MNPCA"
"1979-11-25","MNPCA"
"1980-11-24","MNPCA"
"1981-12-05","MNPCA"
"1982-11-13","MNPCA"
"1983-11-26","MNPCA"
"1984-11-20","MNPCA"
"2000-12-04","MNPCA"
"2002-11-25","MNPCA"
"2003-11-25","MNPCA"
"2003-11-25","MNPCA"
"2004-12-06","MNPCA"
"2004-12-07","MNPCA"
"2004-12-16","MNPCA"
"2005-11-28","MNPCA"
"2005-11-30","MNPCA"
"2006-11-27","MNPCA"
"2006-12-01","MNPCA"
"2006-12-01","MNPCA"
"2006-12-01","MNPCA"
"2007-12-01","MNPCA"
"2007-12-05","MNPCA"
"2008-11-18","MNPCA"
"2015-12-19","MNPCA"
"2017-11-22","MNPCA"
"2018-11-13","MNPCA"
"2022-12-01","MNPCA"
