"Name: Stocking"
"ID: 80003700"
"Ice In Date","Source"
"1991-11-03","MNPCA"
"1992-11-13","MNPCA"
"1994-11-28","MNPCA"
"1996-11-11","MNPCA"
"1998-12-05","MNPCA"
"1999-12-08","MNPCA"
"2000-11-20","MNPCA"
"2002-11-13","MNPCA"
"2002-11-14","MNPCA"
"2003-11-07","MNPCA"
"2003-11-08","MNPCA"
"2004-11-24","MNPCA"
"2005-11-24","MNPCA"
"2006-11-30","MNPCA"
"2007-11-26","MNPCA"
"2012-11-12","MNDNR-LLMMP"
"2013-11-10","MNDNR-LLMMP"
"2015-11-21","MNDNR-LLMMP"
"2015-11-27","MNPCA"
"2016-11-23","MNDNR-LLMMP"
"2017-11-06","MNDNR-LLMMP"
"2017-11-10","MNPCA"
"2018-11-10","MNPCA"
"2019-11-06","MNDNR-LLMMP"
"2022-11-20","MNPCA"
