"Name: McDonald"
"ID: 82001000"
"Ice In Date","Source"
"1992-11-14","MNPCA"
"1993-11-25","MNPCA"
"1994-11-25","MNPCA"
"1995-11-09","MNPCA"
"1996-11-12","MNPCA"
"1997-11-12","MNPCA"
"1998-12-17","MNPCA"
"1999-12-06","MNPCA"
"2000-11-19","MNPCA"
"2001-12-20","MNPCA"
"2002-11-26","MNPCA"
"2003-11-25","MNPCA"
"2004-11-24","MNPCA"
"2005-11-30","MNPCA"
"2006-12-01","MNPCA"
"2007-11-23","MNPCA"
"2008-11-18","MNPCA"
"2009-12-04","MNDNR-LLMMP"
"2010-11-23","MNDNR-LLMMP"
"2011-11-30","MNDNR-LLMMP"
"2012-11-24","MNDNR-LLMMP"
"2013-11-22","MNDNR-LLMMP"
"2014-11-13","MNDNR-LLMMP"
"2015-12-18","MNDNR-LLMMP"
"2015-12-18","MNPCA"
"2016-12-08","MNDNR-LLMMP"
"2017-12-07","MNPCA"
"2017-12-08","MNDNR-LLMMP"
"2018-11-10","MNDNR-LLMMP"
"2019-11-07","MNDNR-LLMMP"
"2020-12-01","MNDNR-LLMMP"
"2022-11-16","MNPCA"
