"Name: Collinwood"
"ID: 86029300"
"Ice In Date","Source"
"1985-11-15","MNPCA"
"1986-11-14","MNPCA"
"1987-11-24","MNPCA"
"1988-11-17","MNPCA"
"1989-11-18","MNPCA"
"1990-11-29","MNPCA"
"1991-11-04","MNPCA"
"1992-11-27","MNPCA"
"1993-11-26","MNPCA"
"1994-11-29","MNPCA"
"1995-11-16","MNPCA"
"1996-11-12","MNPCA"
"1997-11-16","MNPCA"
"1998-12-20","MNPCA"
"1999-12-15","MNPCA"
"2000-11-21","MNPCA"
"2001-12-20","MNPCA"
"2002-12-04","MNPCA"
"2003-11-23","MNPCA"
"2004-12-13","MNPCA"
"2006-12-01","MNPCA"
"2007-12-01","MNPCA"
"2022-11-20","MNPCA"
