"Name: Farm Island"
"ID: 01015900"
"Ice Out Date","Source"
"1978-04-23","MNDNR-SCO"
"1979-05-02","MNDNR-SCO"
"1980-04-22","MNDNR-SCO"
"1981-04-19","MNDNR-SCO"
"1982-04-25","MNDNR-SCO"
"1983-04-25","MNDNR-SCO"
"1983-04-26","MNDNR-LAKESDB"
"1984-04-17","MNDNR-SCO"
"1985-04-20","MNDNR-SCO"
"1986-04-15","MNDNR-SCO"
"1987-04-08","MNDNR-SCO"
"1988-04-16","MNDNR-SCO"
"1989-04-25","MNDNR-SCO"
"1990-04-21","MNDNR-SCO"
"1991-04-13","MNDNR-SCO"
"1992-04-16","MNDNR-SCO"
"1993-04-23","MNDNR-SCO"
"1994-04-18","MNDNR-SCO"
"1995-04-26","MNDNR-SCO"
"1996-04-30","MNDNR-SCO"
"1997-04-24","MNDNR-SCO"
"1998-04-13","MNDNR-SCO"
"1999-04-13","MNDNR-SCO"
"2000-03-28","MNDNR-SCO"
"2001-04-26","MNDNR-SCO"
"2002-04-18","MNPCA"
"2002-04-18","MNDNR-SCO"
"2003-04-15","MNPCA"
"2003-04-15","MNDNR-SCO"
"2003-04-17","MNPCA"
"2004-04-17","MNPCA"
"2004-04-17","MNDNR-SCO"
"2005-04-13","MNDNR-SCO"
"2005-04-14","MNPCA"
"2006-04-09","MNDNR-SCO"
"2006-04-10","MNDNR-LAKESDB"
"2007-04-07","MNDNR-SCO"
"2007-04-21","MNPCA"
"2007-04-21","MNPCA"
"2007-04-21","MNDNR-LAKESDB"
"2008-05-01","MNDNR-SCO"
"2008-05-02","MNDNR-LAKESDB"
"2008-05-02","MNPCA"
"2009-04-21","MNDNR-SCO"
"2009-04-21","MNDNR-LLMMP"
"2010-04-02","MNDNR-LLMMP"
"2010-04-02","MNDNR-SCO"
"2011-04-26","MNDNR-SCO"
"2011-04-26","MNDNR-LLMMP"
"2012-03-27","MNDNR-LLMMP"
"2012-03-27","MNDNR-SCO"
"2013-05-12","MNDNR-LLMMP"
"2013-05-13","MNDNR-SCO"
"2014-04-30","MNDNR-SCO"
"2014-04-30","MNDNR-LLMMP"
"2015-04-10","MNDNR-SCO"
"2015-04-11","MNDNR-LLMMP"
"2015-04-11","MNPCA"
"2016-03-31","MNDNR-SCO"
"2016-04-01","MNDNR-LLMMP"
"2017-04-05","MNDNR-LLMMP"
"2017-04-05","MNDNR-SCO"
"2018-05-04","MNDNR-SCO"
"2018-05-04","MNDNR-LLMMP"
"2019-04-24","MNDNR-SCO"
"2019-04-24","MNDNR-LLMMP"
"2020-04-19","MNDNR-SCO"
"2020-04-19","MNDNR-LLMMP"
"2021-04-05","MNDNR-LLMMP"
"2021-04-05","MNDNR-SCO"
"2022-05-03","MNDNR-SCO"
