"Name: George"
"ID: 02009100"
"Ice Out Date","Source"
"1983-04-13","MNPCA"
"1983-04-13","MNPCA"
"1984-04-11","MNPCA"
"1984-04-11","MNPCA"
"1985-04-12","MNPCA"
"1985-04-12","MNPCA"
"1986-04-09","MNPCA"
"1986-04-09","MNPCA"
"1987-03-23","MNPCA"
"1987-03-23","MNPCA"
"1987-04-17","MNPCA"
"1988-04-04","MNPCA"
"1988-04-04","MNPCA"
"1989-04-17","MNPCA"
"1990-04-01","MNPCA"
"1990-04-01","MNPCA"
"1991-04-04","MNPCA"
"1991-04-04","MNPCA"
"1992-04-05","MNPCA"
"1992-04-05","MNPCA"
"1993-04-15","MNPCA"
"1993-04-15","MNPCA"
"1994-04-07","MNPCA"
"1994-04-07","MNPCA"
"1995-04-13","MNPCA"
"1995-04-13","MNPCA"
"1996-04-23","MNPCA"
"1996-04-23","MNPCA"
"1997-04-14","MNPCA"
"1997-04-14","MNPCA"
"1998-03-30","MNPCA"
"1998-03-30","MNPCA"
"1999-03-29","MNPCA"
"1999-03-29","MNPCA"
"2000-03-22","MNPCA"
"2000-03-22","MNPCA"
"2001-04-19","MNPCA"
"2001-04-19","MNPCA"
"2002-04-15","MNPCA"
"2002-04-15","MNPCA"
"2003-04-04","MNPCA"
"2003-04-04","MNPCA"
"2003-04-16","MNPCA"
"2005-04-04","MNPCA"
"2005-04-04","MNPCA"
"2006-04-05","MNPCA"
"2006-04-05","MNPCA"
"2007-03-31","MNPCA"
"2007-03-31","MNPCA"
"2008-04-21","MNPCA"
"2012-03-17","MNDNR-LLMMP"
"2014-04-23","MNDNR-SCO"
"2015-04-01","MNDNR-SCO"
"2016-03-15","MNDNR-SCO"
"2017-03-25","MNPCA"
"2019-04-11","MNPCA"
"2019-04-13","MNDNR-SCO"
