"Name: Bad Medicine"
"ID: 03008500"
"Ice Out Date","Source"
"1974-04-28","MNPCA"
"1975-05-06","MNPCA"
"1976-04-14","MNPCA"
"1977-04-19","MNPCA"
"1978-04-25","MNPCA"
"1979-05-11","MNPCA"
"1980-04-27","MNPCA"
"1981-04-08","MNPCA"
"1982-04-28","MNPCA"
"1983-04-24","MNPCA"
"1984-04-18","MNPCA"
"1985-04-21","MNPCA"
"1986-04-12","MNPCA"
"1987-04-13","MNPCA"
"1988-04-18","MNPCA"
"1989-04-28","MNPCA"
"1990-04-25","MNPCA"
"1991-04-20","MNPCA"
"1992-04-25","MNPCA"
"1993-04-21","MNPCA"
"1994-04-22","MNPCA"
"1995-04-30","MNPCA"
"1996-05-09","MNPCA"
"1997-04-28","MNPCA"
"1998-04-10","MNPCA"
"1999-04-22","MNPCA"
"2000-04-12","MNPCA"
"2001-04-28","MNPCA"
"2002-04-23","MNPCA"
"2002-04-23","MNPCA"
"2003-04-15","MNPCA"
"2003-04-15","MNPCA"
"2004-04-21","MNPCA"
"2004-04-21","MNPCA"
"2005-04-14","MNPCA"
"2005-04-17","MNPCA"
"2006-04-13","MNPCA"
"2006-04-13","MNPCA"
"2007-04-25","MNPCA"
"2008-05-09","MNPCA"
"2008-05-09","MNPCA"
"2015-04-15","MNDNR-LLMMP"
"2016-04-14","MNDNR-LLMMP"
"2017-04-08","MNDNR-LLMMP"
"2018-05-02","MNDNR-LLMMP"
"2018-05-03","MNDNR-SCO"
"2019-04-27","MNDNR-LLMMP"
"2020-04-29","MNPCA"
"2021-04-06","MNDNR-LLMMP"
