"Name: Big Sugar Bush"
"ID: 03030400"
"Ice Out Date","Source"
"1988-04-16","MNPCA"
"1989-04-26","MNPCA"
"1990-04-23","MNPCA"
"1991-04-15","MNPCA"
"1992-04-10","MNPCA"
"1993-04-18","MNPCA"
"1997-04-28","MNPCA"
"1998-04-08","MNPCA"
"1999-04-13","MNPCA"
"2000-04-04","MNPCA"
"2001-04-27","MNPCA"
"2002-04-16","MNPCA"
"2003-04-13","MNPCA"
"2004-04-17","MNPCA"
"2005-04-11","MNPCA"
"2006-04-13","MNPCA"
"2015-04-13","MNPCA"
"2016-03-31","MNPCA"
"2018-04-30","MNPCA"
"2019-04-25","MNPCA"
"2020-04-26","MNPCA"
"2022-05-06","MNPCA"
