"Name: Detroit"
"ID: 03038100"
"Ice Out Date","Source"
"1893-05-12","MNDNR-SCO"
"1894-04-27","MNDNR-SCO"
"1895-04-09","MNDNR-SCO"
"1896-04-26","MNDNR-SCO"
"1897-04-18","MNDNR-SCO"
"1898-04-05","MNDNR-SCO"
"1899-04-28","MNDNR-SCO"
"1900-04-17","MNDNR-LAKESDB"
"1900-04-17","MNDNR-SCO"
"1901-04-21","MNDNR-SCO"
"1901-04-21","MNDNR-LAKESDB"
"1902-03-28","MNDNR-LAKESDB"
"1902-03-28","MNDNR-SCO"
"1903-04-25","MNDNR-SCO"
"1903-04-25","MNDNR-LAKESDB"
"1904-05-05","MNDNR-SCO"
"1904-05-05","MNDNR-LAKESDB"
"1905-04-08","MNDNR-LAKESDB"
"1905-04-08","MNDNR-SCO"
"1906-04-20","MNDNR-SCO"
"1906-04-20","MNDNR-LAKESDB"
"1907-05-07","MNDNR-SCO"
"1907-05-07","MNDNR-LAKESDB"
"1908-04-19","MNDNR-SCO"
"1909-05-05","MNDNR-LAKESDB"
"1909-05-05","MNDNR-SCO"
"1910-03-23","MNPCA"
"1910-03-23","MNDNR-SCO"
"1911-04-13","MNDNR-SCO"
"1911-04-18","MNPCA"
"1912-04-13","MNPCA"
"1912-04-13","MNDNR-SCO"
"1913-04-19","MNPCA"
"1913-04-19","MNDNR-SCO"
"1914-04-22","MNPCA"
"1914-04-23","MNDNR-SCO"
"1915-04-17","MNDNR-SCO"
"1915-04-17","MNPCA"
"1916-04-24","MNPCA"
"1916-04-24","MNDNR-SCO"
"1917-04-26","MNDNR-SCO"
"1917-04-26","MNPCA"
"1918-04-15","MNPCA"
"1918-04-15","MNDNR-SCO"
"1919-04-12","MNDNR-SCO"
"1919-04-12","MNPCA"
"1920-04-25","MNPCA"
"1920-04-25","MNDNR-SCO"
"1921-04-13","MNPCA"
"1921-04-13","MNDNR-SCO"
"1922-04-25","MNDNR-SCO"
"1922-04-25","MNPCA"
"1923-04-29","MNDNR-SCO"
"1923-04-29","MNPCA"
"1924-04-09","MNPCA"
"1924-04-09","MNDNR-SCO"
"1925-04-11","MNDNR-SCO"
"1925-04-11","MNPCA"
"1926-04-21","MNPCA"
"1926-04-21","MNDNR-SCO"
"1927-04-19","MNPCA"
"1927-04-19","MNDNR-SCO"
"1928-04-27","MNPCA"
"1928-04-27","MNDNR-SCO"
"1929-04-14","MNDNR-SCO"
"1929-04-29","MNPCA"
"1930-04-13","MNPCA"
"1930-04-13","MNDNR-SCO"
"1931-04-08","MNDNR-SCO"
"1931-04-08","MNPCA"
"1932-04-18","MNDNR-SCO"
"1932-04-18","MNPCA"
"1933-04-20","MNDNR-SCO"
"1933-04-20","MNPCA"
"1934-04-20","MNPCA"
"1934-04-20","MNDNR-SCO"
"1935-04-23","MNDNR-SCO"
"1935-04-23","MNPCA"
"1936-05-05","MNPCA"
"1936-05-05","MNDNR-SCO"
"1937-04-18","MNDNR-SCO"
"1937-04-18","MNPCA"
"1938-04-11","MNPCA"
"1938-04-11","MNDNR-SCO"
"1939-04-24","MNPCA"
"1939-04-24","MNDNR-SCO"
"1940-04-29","MNDNR-SCO"
"1940-04-29","MNPCA"
"1941-04-13","MNPCA"
"1941-04-13","MNDNR-SCO"
"1942-04-14","MNDNR-SCO"
"1942-04-14","MNPCA"
"1943-04-21","MNDNR-SCO"
"1943-04-21","MNPCA"
"1944-04-23","MNDNR-SCO"
"1944-04-23","MNPCA"
"1945-03-31","MNPCA"
"1945-03-31","MNDNR-SCO"
"1946-04-03","MNPCA"
"1946-04-03","MNDNR-SCO"
"1947-04-30","MNPCA"
"1947-04-30","MNDNR-SCO"
"1948-04-21","MNPCA"
"1948-04-21","MNDNR-SCO"
"1949-04-20","MNDNR-SCO"
"1949-04-20","MNPCA"
"1950-05-17","MNPCA"
"1950-05-17","MNDNR-SCO"
"1951-04-30","MNPCA"
"1951-04-30","MNDNR-SCO"
"1952-04-23","MNDNR-SCO"
"1952-04-23","MNPCA"
"1953-04-23","MNDNR-SCO"
"1953-04-23","MNPCA"
"1954-04-23","MNDNR-SCO"
"1954-04-23","MNPCA"
"1955-04-16","MNDNR-SCO"
"1955-04-16","MNPCA"
"1956-05-09","MNPCA"
"1956-05-09","MNDNR-SCO"
"1957-04-20","MNPCA"
"1957-04-20","MNDNR-SCO"
"1958-04-12","MNPCA"
"1958-04-12","MNDNR-SCO"
"1959-04-12","MNPCA"
"1959-04-23","MNDNR-SCO"
"1960-04-26","MNDNR-SCO"
"1960-04-26","MNPCA"
"1961-04-21","MNDNR-SCO"
"1961-04-21","MNPCA"
"1962-04-28","MNDNR-SCO"
"1962-04-28","MNPCA"
"1963-04-12","MNDNR-SCO"
"1963-04-12","MNPCA"
"1964-04-26","MNPCA"
"1964-04-26","MNDNR-SCO"
"1965-04-29","MNPCA"
"1965-04-29","MNDNR-SCO"
"1966-05-02","MNDNR-SCO"
"1966-05-02","MNPCA"
"1967-04-15","MNDNR-SCO"
"1967-04-15","MNPCA"
"1968-04-13","MNPCA"
"1968-04-13","MNDNR-SCO"
"1969-04-21","MNPCA"
"1969-04-21","MNDNR-SCO"
"1970-04-29","MNDNR-SCO"
"1970-04-29","MNPCA"
"1971-04-21","MNDNR-SCO"
"1971-04-21","MNPCA"
"1972-05-01","MNDNR-SCO"
"1972-05-01","MNPCA"
"1973-04-06","MNPCA"
"1973-04-06","MNDNR-SCO"
"1974-04-27","MNDNR-SCO"
"1974-04-27","MNPCA"
"1975-05-04","MNPCA"
"1975-05-04","MNDNR-SCO"
"1976-04-14","MNDNR-SCO"
"1976-04-14","MNPCA"
"1977-04-18","MNPCA"
"1977-04-18","MNDNR-SCO"
"1978-05-01","MNPCA"
"1978-05-01","MNDNR-SCO"
"1979-05-09","MNDNR-SCO"
"1979-05-09","MNPCA"
"1980-04-21","MNPCA"
"1980-04-21","MNDNR-SCO"
"1980-04-21","MNDNR-LAKESDB"
"1981-04-06","MNDNR-SCO"
"1981-04-06","MNDNR-LAKESDB"
"1981-04-06","MNPCA"
"1982-04-24","MNPCA"
"1983-04-15","MNPCA"
"1983-04-17","MNDNR-SCO"
"1983-04-17","MNDNR-LAKESDB"
"1984-04-13","MNDNR-LAKESDB"
"1984-04-13","MNDNR-SCO"
"1984-04-14","MNPCA"
"1985-04-20","MNPCA"
"1986-04-12","MNDNR-LAKESDB"
"1986-04-12","MNDNR-SCO"
"1986-04-12","MNPCA"
"1987-04-10","MNPCA"
"1987-04-11","MNDNR-LAKESDB"
"1987-04-11","MNDNR-SCO"
"1988-04-15","MNPCA"
"1988-04-15","MNDNR-SCO"
"1988-04-15","MNDNR-LAKESDB"
"1989-04-25","MNPCA"
"1989-04-26","MNDNR-LAKESDB"
"1989-04-26","MNDNR-SCO"
"1990-04-22","MNDNR-LAKESDB"
"1990-04-22","MNDNR-SCO"
"1990-04-23","MNPCA"
"1991-04-11","MNDNR-LAKESDB"
"1991-04-17","MNPCA"
"1991-04-17","MNDNR-SCO"
"1992-04-09","MNPCA"
"1992-04-09","MNDNR-LAKESDB"
"1992-04-09","MNDNR-SCO"
"1993-04-19","MNDNR-LAKESDB"
"1993-04-19","MNPCA"
"1993-04-19","MNDNR-SCO"
"1994-04-18","MNDNR-LAKESDB"
"1994-04-18","MNPCA"
"1994-04-18","MNDNR-SCO"
"1995-04-22","MNPCA"
"1995-04-23","MNDNR-LAKESDB"
"1995-04-23","MNDNR-SCO"
"1995-04-23","MNPCA"
"1996-05-05","MNPCA"
"1996-05-05","MNDNR-LAKESDB"
"1996-05-05","MNDNR-SCO"
"1997-04-28","MNPCA"
"1997-04-28","MNDNR-SCO"
"1997-04-28","MNDNR-LAKESDB"
"1998-04-10","MNPCA"
"1998-04-10","MNDNR-SCO"
"1998-04-10","MNDNR-LAKESDB"
"1999-04-13","MNPCA"
"1999-04-13","MNDNR-SCO"
"1999-04-13","MNDNR-LAKESDB"
"2000-04-03","MNDNR-SCO"
"2000-04-03","MNPCA"
"2001-04-28","MNDNR-SCO"
"2001-04-28","MNPCA"
"2002-04-16","MNDNR-SCO"
"2002-04-16","MNPCA"
"2003-04-14","MNPCA"
"2003-04-15","MNDNR-SCO"
"2003-04-15","MNPCA"
"2004-04-15","MNPCA"
"2004-04-16","MNDNR-SCO"
"2005-04-14","MNDNR-SCO"
"2006-04-13","MNDNR-SCO"
"2006-04-13","MNPCA"
"2007-04-21","MNDNR-SCO"
"2008-05-01","MNPCA"
"2008-05-05","MNDNR-SCO"
"2009-04-23","MNDNR-SCO"
"2010-04-02","MNDNR-LLMMP"
"2010-04-02","MNDNR-SCO"
"2011-04-26","MNDNR-LLMMP"
"2011-04-26","MNDNR-SCO"
"2011-05-01","MNDNR-LLMMP"
"2012-03-24","MNDNR-SCO"
"2013-05-12","MNDNR-LLMMP"
"2013-05-12","MNDNR-SCO"
"2014-04-26","MNDNR-SCO"
"2015-04-12","MNDNR-SCO"
"2015-04-12","MNPCA"
"2016-03-29","MNDNR-SCO"
"2016-03-29","MNPCA"
"2017-04-07","MNPCA"
"2018-05-01","MNDNR-SCO"
"2018-05-01","MNPCA"
"2019-04-25","MNDNR-SCO"
"2019-04-25","MNPCA"
"2020-04-02","MNDNR-LLMMP"
"2020-04-25","MNPCA"
"2021-04-03","MNDNR-SCO"
