"Name: Long"
"ID: 03038300"
"Ice Out Date","Source"
"1961-04-19","MNPCA"
"1962-04-27","MNPCA"
"1963-04-13","MNPCA"
"1964-04-25","MNPCA"
"1965-04-27","MNPCA"
"1966-05-03","MNPCA"
"1967-04-15","MNPCA"
"1968-04-13","MNPCA"
"1969-04-21","MNPCA"
"1970-04-30","MNPCA"
"1971-04-20","MNPCA"
"1972-04-28","MNPCA"
"1973-04-06","MNPCA"
"1974-04-26","MNPCA"
"1975-05-04","MNPCA"
"1976-04-21","MNPCA"
"1977-04-18","MNPCA"
"1978-04-28","MNPCA"
"1979-05-08","MNPCA"
"1980-04-20","MNPCA"
"1981-04-07","MNPCA"
"1982-04-24","MNPCA"
"1983-04-19","MNPCA"
"1984-04-14","MNPCA"
"1985-04-19","MNPCA"
"1986-04-14","MNPCA"
"1987-04-10","MNPCA"
"1988-04-14","MNPCA"
"1989-04-25","MNPCA"
"1990-04-22","MNPCA"
"1991-04-16","MNPCA"
"1992-04-10","MNPCA"
"1993-04-18","MNPCA"
"1994-04-17","MNPCA"
"1995-04-23","MNPCA"
"1996-05-04","MNPCA"
"1997-04-28","MNPCA"
"1998-04-07","MNPCA"
"1999-04-12","MNPCA"
"2000-04-03","MNPCA"
"2001-04-26","MNPCA"
"2002-04-16","MNPCA"
"2002-04-16","MNPCA"
"2003-04-13","MNPCA"
"2004-04-16","MNPCA"
"2004-04-16","MNPCA"
"2005-04-11","MNPCA"
"2005-04-11","MNPCA"
"2007-04-21","MNPCA"
"2007-04-21","MNPCA"
"2008-05-02","MNPCA"
"2008-05-04","MNPCA"
"2013-05-10","MNDNR-SCO"
"2013-05-11","MNDNR-LLMMP"
"2014-04-25","MNDNR-LLMMP"
"2015-04-12","MNDNR-SCO"
"2015-04-12","MNPCA"
"2016-03-28","MNDNR-SCO"
"2016-03-28","MNDNR-LLMMP"
"2017-04-03","MNDNR-SCO"
"2017-04-03","MNDNR-LLMMP"
"2017-04-03","MNPCA"
"2018-04-29","MNDNR-LLMMP"
"2018-04-30","MNDNR-SCO"
"2019-04-24","MNDNR-SCO"
"2019-04-24","MNPCA"
"2020-04-25","MNDNR-SCO"
"2020-04-25","MNPCA"
"2020-04-25","MNDNR-LLMMP"
"2021-04-03","MNDNR-SCO"
"2021-04-04","MNDNR-LLMMP"
"2022-05-06","MNPCA"
"2022-05-06","MNDNR-SCO"
