"Name: Floyd (south bay)"
"ID: 03038702"
"Ice Out Date","Source"
"1968-04-12","MNPCA"
"1969-04-21","MNPCA"
"1970-04-29","MNPCA"
"1971-04-20","MNPCA"
"1971-04-20","MNPCA"
"1972-04-29","MNPCA"
"1972-04-29","MNPCA"
"1973-04-05","MNPCA"
"1973-04-05","MNPCA"
"1974-04-26","MNPCA"
"1974-04-26","MNPCA"
"1975-04-29","MNPCA"
"1975-04-30","MNPCA"
"1976-04-14","MNPCA"
"1976-04-14","MNPCA"
"1977-04-17","MNPCA"
"1977-04-17","MNPCA"
"1978-04-30","MNPCA"
"1978-04-30","MNPCA"
"1979-05-08","MNPCA"
"1979-05-08","MNPCA"
"1980-04-16","MNPCA"
"1980-04-19","MNPCA"
"1981-04-06","MNPCA"
"1981-04-16","MNPCA"
"1982-04-24","MNPCA"
"1982-04-24","MNPCA"
"1983-04-15","MNPCA"
"1983-04-15","MNPCA"
"1984-04-12","MNPCA"
"1984-04-12","MNPCA"
"1985-04-19","MNPCA"
"1985-04-19","MNPCA"
"1986-04-12","MNPCA"
"1986-04-12","MNPCA"
"1987-04-10","MNPCA"
"1987-04-10","MNPCA"
"1988-04-13","MNPCA"
"1988-04-13","MNPCA"
"1989-04-25","MNPCA"
"1989-04-25","MNPCA"
"1990-04-21","MNPCA"
"1990-04-22","MNPCA"
"1991-04-12","MNPCA"
"1991-04-13","MNPCA"
"1992-04-08","MNPCA"
"1992-04-19","MNPCA"
"1993-04-17","MNPCA"
"1993-04-20","MNPCA"
"1994-04-17","MNPCA"
"1994-04-18","MNPCA"
"1995-04-21","MNPCA"
"1995-04-21","MNPCA"
"1996-05-02","MNPCA"
"1996-05-02","MNPCA"
"1997-04-28","MNPCA"
"1997-04-28","MNPCA"
"1998-04-11","MNPCA"
"1998-04-28","MNPCA"
"1999-04-11","MNPCA"
"1999-04-11","MNPCA"
"2000-03-31","MNPCA"
"2000-03-31","MNPCA"
"2001-04-27","MNPCA"
"2001-04-27","MNPCA"
"2002-04-15","MNPCA"
"2002-04-15","MNPCA"
"2003-04-15","MNPCA"
"2003-04-15","MNPCA"
"2004-04-15","MNPCA"
"2004-04-15","MNPCA"
"2006-04-12","MNPCA"
"2008-05-12","MNPCA"
"2015-04-13","MNPCA"
"2017-04-05","MNPCA"
"2018-05-01","MNPCA"
"2019-04-25","MNPCA"
