"Name: Andrusia"
"ID: 04003800"
"Ice Out Date","Source"
"1983-04-25","MNDNR-SCO"
"1983-04-25","MNDNR-LAKESDB"
"1994-04-22","MNDNR-LLMMP"
"1995-04-26","MNDNR-LLMMP"
"1996-05-09","MNDNR-LLMMP"
"1997-04-28","MNDNR-LLMMP"
"1998-04-13","MNDNR-LLMMP"
"1999-04-18","MNDNR-LLMMP"
"2000-04-18","MNDNR-LLMMP"
"2001-04-28","MNDNR-LLMMP"
"2002-04-23","MNDNR-LLMMP"
"2003-04-23","MNDNR-LLMMP"
"2004-04-22","MNDNR-LLMMP"
"2005-04-14","MNDNR-LLMMP"
"2006-04-14","MNDNR-LLMMP"
"2007-04-26","MNDNR-LLMMP"
"2008-05-07","MNDNR-LLMMP"
"2009-04-24","MNDNR-LLMMP"
"2010-04-02","MNDNR-LLMMP"
"2011-04-27","MNDNR-LLMMP"
"2012-04-01","MNDNR-LLMMP"
"2013-05-14","MNDNR-SCO"
"2015-04-15","MNDNR-SCO"
"2016-04-17","MNDNR-SCO"
"2018-05-04","MNDNR-SCO"
"2019-04-26","MNDNR-SCO"
"2020-04-27","MNDNR-SCO"
"2021-04-05","MNDNR-SCO"
"2022-05-07","MNDNR-SCO"
